hub,category,region,shipping_cost,late_probability
SP,auto,Central-West,18.23,0.05927456785568724
SP,auto,North,27.369999999999997,0.08406009159493802
SP,auto,Northeast,26.98,0.15842824552731094
SP,auto,South,18.45,0.0685309177817714
SP,auto,Southeast,14.52,0.07670565023372561
SP,bed_bath_table,Central-West,18.09,0.1283085319157038
SP,bed_bath_table,North,33.15,0.08172508905063419
SP,bed_bath_table,Northeast,27.35,0.15244459967578775
SP,bed_bath_table,South,18.09,0.08485525801455708
SP,bed_bath_table,Southeast,14.78,0.0791190925734756
SP,computers_accessories,Central-West,16.11,0.11798005198631617
SP,computers_accessories,North,25.63,0.15365349143173293
SP,computers_accessories,Northeast,22.85,0.13194419437687221
SP,computers_accessories,South,16.24,0.10144979078117708
SP,computers_accessories,Southeast,12.79,0.08717977314690697
SP,furniture_decor,Central-West,17.95,0.10373608342948872
SP,furniture_decor,North,27.84,0.08392488075556971
SP,furniture_decor,Northeast,25.61,0.15988527696040278
SP,furniture_decor,South,17.88,0.08724909665462872
SP,furniture_decor,Southeast,14.0,0.07841365564811908
SP,garden_tools,Central-West,17.89,0.07018431277902788
SP,garden_tools,North,28.82,0.14248565804178906
SP,garden_tools,Northeast,28.79,0.1775261412981261
SP,garden_tools,South,17.67,0.06443106593803523
SP,garden_tools,Southeast,14.44,0.0791431447427384
SP,health_beauty,Central-West,16.735,0.1015201689744381
SP,health_beauty,North,25.765,0.13348719074542978
SP,health_beauty,Northeast,24.72,0.17995664043432238
SP,health_beauty,South,16.46,0.06432185387014903
SP,health_beauty,Southeast,12.19,0.08236451012476056
SP,housewares,Central-West,18.23,0.0551163926299944
SP,housewares,North,26.89,0.07192974836380855
SP,housewares,Northeast,23.92,0.11054349548192319
SP,housewares,South,17.76,0.067473068613067
SP,housewares,Southeast,14.13,0.0688226748257489
SP,sports_leisure,Central-West,17.505,0.07514372441867925
SP,sports_leisure,North,33.25,0.11500844914495802
SP,sports_leisure,Northeast,24.52,0.11973682995564665
SP,sports_leisure,South,17.95,0.07721481274891909
SP,sports_leisure,Southeast,13.84,0.07848467156726574
SP,telephony,Central-West,15.23,0.08104186944717175
SP,telephony,North,25.63,0.11621178776215119
SP,telephony,Northeast,21.15,0.15833566776732352
SP,telephony,South,15.1,0.06034289335980075
SP,telephony,Southeast,11.85,0.0713225052433875
SP,watches_gifts,Central-West,17.19,0.07913365668869762
SP,watches_gifts,North,26.6,0.10839938094156502
SP,watches_gifts,Northeast,22.91,0.13163544419857132
SP,watches_gifts,South,16.62,0.06599697064062454
SP,watches_gifts,Southeast,13.69,0.08164212959696554
PR,auto,Central-West,33.58,0.0642343094879203
PR,auto,North,50.305,0.07638674641806739
PR,auto,Northeast,33.114999999999995,0.09106244561261308
PR,auto,South,15.62,0.04790355283844904
PR,auto,Southeast,18.33,0.043479922518421595
PR,bed_bath_table,Central-West,33.43,0.09110260993972603
PR,bed_bath_table,North,48.655,0.07638674641806739
PR,bed_bath_table,Northeast,44.29,0.09811050301201266
PR,bed_bath_table,South,18.83,0.10038690613924255
PR,bed_bath_table,Southeast,23.85,0.22909913093719705
PR,computers_accessories,Central-West,27.395000000000003,0.06563759247565859
PR,computers_accessories,North,42.93,0.050469814597651666
PR,computers_accessories,Northeast,42.92,0.1644398668906217
PR,computers_accessories,South,15.34,0.07153682564658265
PR,computers_accessories,Southeast,15.17,0.09146088152180522
PR,furniture_decor,Central-West,26.84,0.07282887021835617
PR,furniture_decor,North,38.45,0.10054811703059362
PR,furniture_decor,Northeast,34.15,0.19021924681223742
PR,furniture_decor,South,17.115,0.07459578306362252
PR,furniture_decor,Southeast,19.665,0.06533648854845422
PR,garden_tools,Central-West,38.25,0.06572813063880217
PR,garden_tools,North,47.61,0.09110260993972603
PR,garden_tools,Northeast,33.895,0.09281364648977872
PR,garden_tools,South,17.95,0.04905525150600633
PR,garden_tools,Southeast,18.275,0.047721400106515204
PR,health_beauty,Central-West,27.104999999999997,0.06073507329315069
PR,health_beauty,North,30.174999999999997,0.10268743866954241
PR,health_beauty,Northeast,31.98,0.1278130139436939
PR,health_beauty,South,15.6,0.036414435109178085
PR,health_beauty,Southeast,17.66,0.03496771136195399
PR,housewares,Central-West,24.1,0.049584379253833216
PR,housewares,North,33.875,0.07246947737098701
PR,housewares,Northeast,47.79,0.09565774043671234
PR,housewares,South,17.275,0.035103757958426546
PR,housewares,Southeast,18.84,0.048008019505098934
PR,sports_leisure,Central-West,25.63,0.05066356189103038
PR,sports_leisure,North,42.38,0.09652619234936986
PR,sports_leisure,Northeast,36.44,0.12235672227848224
PR,sports_leisure,South,15.87,0.02217084877469828
PR,sports_leisure,Southeast,17.950000000000003,0.032930543925998215
PR,telephony,Central-West,17.66,0.07638674641806739
PR,telephony,North,26.01,0.07437656888074982
PR,telephony,Northeast,39.1,0.10268743866954241
PR,telephony,South,14.934999999999999,0.07808795137690804
PR,telephony,Southeast,16.64,0.05611987927288946
PR,watches_gifts,Central-West,21.19,0.05435210802824026
PR,watches_gifts,North,27.14,0.07437656888074982
PR,watches_gifts,Northeast,35.19,0.09551327241751628
PR,watches_gifts,South,14.54,0.049584379253833216
PR,watches_gifts,Southeast,17.58,0.037413252848592975
MG,auto,Central-West,44.605000000000004,0.057679788111601904
MG,auto,North,62.64,0.09110260993972603
MG,auto,Northeast,27.634999999999998,0.1297986708451249
MG,auto,South,28.22,0.05101746156624658
MG,auto,Southeast,16.18,0.04962782635085097
MG,bed_bath_table,Central-West,17.09,0.05435210802824026
MG,bed_bath_table,North,29.91,0.09565774043671234
MG,bed_bath_table,Northeast,25.25,0.08321223478393955
MG,bed_bath_table,South,22.245,0.04416108777294521
MG,bed_bath_table,Southeast,15.7,0.04817529483438499
MG,computers_accessories,Central-West,18.28,0.055498452174540594
MG,computers_accessories,North,27.89,0.07282887021835617
MG,computers_accessories,Northeast,22.134999999999998,0.08518692134601127
MG,computers_accessories,South,19.98,0.045109623406118717
MG,computers_accessories,Southeast,15.79,0.03524048767221866
MG,furniture_decor,Central-West,17.73,0.05978608777294521
MG,furniture_decor,North,128.535,0.07638674641806739
