hub,category,opening_inventory,replenishment_capacity,procurement_cost,holding_cost,shortage_cost,weight_kg,supplier_risk,lead_time_days_proxy,lead_time_weeks_scenario,historical_supply_share
SP,auto,80,113,48.24,0.804,116.61,0.9,0.05826164847633178,1.4373148148148147,1,0.8113575432610285
SP,bed_bath_table,230,261,47.940000000000005,0.799,115.985,1.3,0.07268043946805962,1.8330902777777778,1,0.8898166636413142
SP,computers_accessories,84,108,47.940000000000005,0.799,115.985,0.275,0.10332894174992856,1.9263136574074073,1,0.46026443980514964
SP,furniture_decor,146,174,39.216,0.6536,97.81,1.3,0.11310475074477826,2.254259259259259,1,0.7567369832947202
SP,garden_tools,76,95,35.94,0.599,90.985,1.65,0.09298103520062254,2.692511574074074,1,0.7526960784313725
SP,health_beauty,160,198,47.940000000000005,0.799,115.985,0.4,0.0852312442959161,1.7489583333333334,1,0.7155540570914812
SP,housewares,117,159,35.724,0.5954,90.535,1.205,0.09918144447005646,1.7926273148148149,1,0.7206851119894598
SP,sports_leisure,130,174,47.34,0.789,114.735,0.7,0.08414146468090333,1.6536458333333335,1,0.6474580307179426
SP,telephony,100,119,17.394,0.2899,52.3475,0.2,0.09768644047983457,2.292974537037037,1,0.9409211478176995
SP,watches_gifts,113,151,77.39999999999999,1.29,177.36,0.346,0.05938900733503137,1.4637384259259258,1,0.809803592412288
PR,auto,4,8,48.24,0.804,116.61,0.9,0.08020127879952639,1.1690856481481482,1,0.03753351206434316
PR,bed_bath_table,3,10,47.940000000000005,0.799,115.985,1.3,0.3510183660665466,4.823900462962962,1,0.010982029406425849
PR,computers_accessories,41,63,47.940000000000005,0.799,115.985,0.275,0.1773420379704727,2.551388888888889,1,0.22644398051496173
PR,furniture_decor,27,36,39.216,0.6536,97.81,1.3,0.10182070056256835,1.8743171296296297,1,0.13827582002194855
PR,garden_tools,5,9,35.94,0.599,90.985,1.65,0.08203259122870159,1.7762731481481482,1,0.05269607843137255
PR,health_beauty,16,21,47.940000000000005,0.799,115.985,0.4,0.06354763004144001,1.357962962962963,1,0.07226342998426613
PR,housewares,9,17,35.724,0.5954,90.535,1.205,0.08813305759669116,1.9757291666666668,1,0.05416483677353243
PR,sports_leisure,32,36,47.34,0.789,114.735,0.7,0.033031110872583085,1.183582175925926,1,0.15751875223240863
PR,telephony,2,5,17.394,0.2899,52.3475,0.2,0.19445528759189148,4.924265046296297,1,0.02049674463467567
PR,watches_gifts,4,8,77.39999999999999,1.29,177.36,0.346,0.09098214998685805,1.4294907407407407,1,0.02786637569246265
MG,auto,6,11,48.24,0.804,116.61,0.9,0.08196334398415608,1.6149594907407407,1,0.06361199122593224
MG,bed_bath_table,8,14,47.940000000000005,0.799,115.985,1.3,0.1110357686898475,2.2218634259259256,1,0.030132510437465964
MG,computers_accessories,40,45,47.940000000000005,0.799,115.985,0.275,0.08151143618139821,2.1324189814814813,1,0.21892832289491998
MG,furniture_decor,14,18,39.216,0.6536,97.81,1.3,0.14753913087566187,2.6972395833333334,1,0.07047920985245702
MG,garden_tools,14,21,35.94,0.599,90.985,1.65,0.025755298894095207,1.3402662037037036,1,0.1392156862745098
MG,health_beauty,10,14,47.940000000000005,0.799,115.985,0.4,0.04065159893029828,1.3355208333333333,1,0.045178691840863115
MG,housewares,20,26,35.724,0.5954,90.535,1.205,0.10152606165785179,1.5253761574074074,1,0.12282242717025325
MG,sports_leisure,12,17,47.34,0.789,114.735,0.7,0.11745801602210397,2.0647974537037035,1,0.05976902012144303
MG,telephony,1,5,17.394,0.2899,52.3475,0.2,0.1717693851762841,2.6555729166666664,1,0.011333494092114782
MG,watches_gifts,3,15,77.39999999999999,1.29,177.36,0.346,0.1061458416513344,1.8623611111111111,1,0.023166023166023165
RJ,auto,3,6,48.24,0.804,116.61,0.9,0.08546279654592497,1.3350983796296296,1,0.026322203265902996
RJ,bed_bath_table,3,10,47.940000000000005,0.799,115.985,1.3,0.1116024787646289,1.7255208333333334,1,0.01343256489381013
RJ,computers_accessories,3,8,47.940000000000005,0.799,115.985,0.275,0.04023133991893617,1.4822569444444444,1,0.017954070981210855
RJ,furniture_decor,3,5,39.216,0.6536,97.81,1.3,0.08967372314350126,1.491712962962963,1,0.013778807462504573
RJ,garden_tools,1,4,35.94,0.599,90.985,1.65,0.060806178949509716,1.3702951388888889,1,0.010784313725490196
RJ,health_beauty,27,44,47.940000000000005,0.799,115.985,0.4,0.03814409846992238,1.2374305555555556,1,0.11957743313104069
RJ,housewares,4,8,35.724,0.5954,90.535,1.205,0.046042844648967254,1.2011689814814814,1,0.023276240667545016
RJ,sports_leisure,9,18,47.34,0.789,114.735,0.7,0.08871477045959845,1.6448726851851851,1,0.046195975711394215
RJ,telephony,1,6,17.394,0.2899,52.3475,0.2,0.03326706587145713,3.6052314814814816,1,0.010610079575596816
RJ,watches_gifts,13,29,77.39999999999999,1.29,177.36,0.346,0.15882627750002945,2.477702546296296,1,0.09148900453248279
SC,auto,4,9,48.24,0.804,116.61,0.9,0.12594051128613543,1.7694212962962963,1,0.04508895929807458
SC,bed_bath_table,13,25,47.940000000000005,0.799,115.985,1.3,0.11637478898893544,2.1303125,1,0.05100744236703576
SC,computers_accessories,4,9,47.940000000000005,0.799,115.985,0.275,0.11606681808917339,1.7203935185185186,1,0.020737647877522615
SC,furniture_decor,2,6,39.216,0.6536,97.81,1.3,0.08091766942473151,1.3865046296296297,1,0.012437507621021826
SC,garden_tools,3,8,35.94,0.599,90.985,1.65,0.02061694417752368,1.0327256944444443,1,0.03406862745098039
SC,health_beauty,7,12,47.940000000000005,0.799,115.985,0.4,0.14255279171458166,2.3056828703703705,1,0.0304562823106316
SC,housewares,8,12,35.724,0.5954,90.535,1.205,0.040413899860415346,1.0574884259259258,1,0.05138339920948617
SC,sports_leisure,15,18,47.34,0.789,114.735,0.7,0.03430545030528002,1.361267361111111,1,0.07441362066912728
SC,telephony,1,3,17.394,0.2899,52.3475,0.2,0.11494532934395214,1.6616087962962962,1,0.013262599469496022
SC,watches_gifts,6,9,77.39999999999999,1.29,177.36,0.346,0.021892672606064208,1.9741145833333333,1,0.043478260869565216
RS,auto,2,3,48.24,0.804,116.61,0.9,0.12302886096171617,2.797158564814815,1,0.0160857908847185
RS,bed_bath_table,1,6,47.940000000000005,0.799,115.985,1.3,0.16260835130021561,1.962928240740741,1,0.004628789253948085
RS,computers_accessories,10,14,47.940000000000005,0.799,115.985,0.275,0.0995179866686702,1.5117592592592592,1,0.055671537926235214
RS,furniture_decor,2,5,39.216,0.6536,97.81,1.3,0.21094094887380407,2.7111863425925926,1,0.008291671747347884
RS,garden_tools,1,5,35.94,0.599,90.985,1.65,0.09111215216935545,1.7852199074074073,1,0.01053921568627451
RS,health_beauty,4,8,47.940000000000005,0.799,115.985,0.4,0.14968929341437812,2.8074016203703707,1,0.01697010564171724
RS,housewares,4,11,35.724,0.5954,90.535,1.205,0.11467121491713825,2.0899942129629627,1,0.02766798418972332
RS,sports_leisure,3,6,47.34,0.789,114.735,0.7,0.06475793202476177,2.121840277777778,1,0.014644600547684248
RS,telephony,0,5,17.394,0.2899,52.3475,0.2,0.08193913711579924,4.939803240740741,1,0.003375934410417169
RS,watches_gifts,1,23,77.39999999999999,1.29,177.36,0.346,0.04391252695032341,3.1742013888888887,1,0.004196743327178109
