week,category,region,demand
2017-01-02,auto,Central-West,0
2017-01-02,auto,North,0
2017-01-02,auto,Northeast,0
2017-01-02,auto,South,2
2017-01-02,auto,Southeast,0
2017-01-02,bed_bath_table,Central-West,0
2017-01-02,bed_bath_table,North,0
2017-01-02,bed_bath_table,Northeast,0
2017-01-02,bed_bath_table,South,0
2017-01-02,bed_bath_table,Southeast,1
2017-01-02,computers_accessories,Central-West,0
2017-01-02,computers_accessories,North,0
2017-01-02,computers_accessories,Northeast,0
2017-01-02,computers_accessories,South,0
2017-01-02,computers_accessories,Southeast,0
2017-01-02,furniture_decor,Central-West,0
2017-01-02,furniture_decor,North,0
2017-01-02,furniture_decor,Northeast,0
2017-01-02,furniture_decor,South,0
2017-01-02,furniture_decor,Southeast,3
2017-01-02,garden_tools,Central-West,0
2017-01-02,garden_tools,North,0
2017-01-02,garden_tools,Northeast,1
2017-01-02,garden_tools,South,1
2017-01-02,garden_tools,Southeast,0
2017-01-02,health_beauty,Central-West,0
2017-01-02,health_beauty,North,0
2017-01-02,health_beauty,Northeast,1
2017-01-02,health_beauty,South,0
2017-01-02,health_beauty,Southeast,1
2017-01-02,housewares,Central-West,0
2017-01-02,housewares,North,0
2017-01-02,housewares,Northeast,0
2017-01-02,housewares,South,0
2017-01-02,housewares,Southeast,0
2017-01-02,sports_leisure,Central-West,0
2017-01-02,sports_leisure,North,0
2017-01-02,sports_leisure,Northeast,0
2017-01-02,sports_leisure,South,0
2017-01-02,sports_leisure,Southeast,0
2017-01-02,telephony,Central-West,0
2017-01-02,telephony,North,0
2017-01-02,telephony,Northeast,0
2017-01-02,telephony,South,0
2017-01-02,telephony,Southeast,0
2017-01-02,watches_gifts,Central-West,0
2017-01-02,watches_gifts,North,0
2017-01-02,watches_gifts,Northeast,0
2017-01-02,watches_gifts,South,0
2017-01-02,watches_gifts,Southeast,1
2017-01-09,auto,Central-West,0
2017-01-09,auto,North,0
2017-01-09,auto,Northeast,0
2017-01-09,auto,South,0
2017-01-09,auto,Southeast,0
2017-01-09,bed_bath_table,Central-West,0
2017-01-09,bed_bath_table,North,0
2017-01-09,bed_bath_table,Northeast,1
2017-01-09,bed_bath_table,South,0
2017-01-09,bed_bath_table,Southeast,4
2017-01-09,computers_accessories,Central-West,2
2017-01-09,computers_accessories,North,0
2017-01-09,computers_accessories,Northeast,0
2017-01-09,computers_accessories,South,1
2017-01-09,computers_accessories,Southeast,1
2017-01-09,furniture_decor,Central-West,1
2017-01-09,furniture_decor,North,1
2017-01-09,furniture_decor,Northeast,0
2017-01-09,furniture_decor,South,6
2017-01-09,furniture_decor,Southeast,23
2017-01-09,garden_tools,Central-West,0
2017-01-09,garden_tools,North,0
2017-01-09,garden_tools,Northeast,0
2017-01-09,garden_tools,South,1
2017-01-09,garden_tools,Southeast,8
2017-01-09,health_beauty,Central-West,0
2017-01-09,health_beauty,North,0
2017-01-09,health_beauty,Northeast,1
2017-01-09,health_beauty,South,0
2017-01-09,health_beauty,Southeast,3
2017-01-09,housewares,Central-West,0
2017-01-09,housewares,North,0
2017-01-09,housewares,Northeast,0
2017-01-09,housewares,South,1
2017-01-09,housewares,Southeast,1
2017-01-09,sports_leisure,Central-West,3
2017-01-09,sports_leisure,North,1
2017-01-09,sports_leisure,Northeast,0
2017-01-09,sports_leisure,South,2
2017-01-09,sports_leisure,Southeast,2
2017-01-09,telephony,Central-West,0
2017-01-09,telephony,North,0
2017-01-09,telephony,Northeast,0
2017-01-09,telephony,South,1
2017-01-09,telephony,Southeast,4
2017-01-09,watches_gifts,Central-West,0
2017-01-09,watches_gifts,North,0
2017-01-09,watches_gifts,Northeast,1
2017-01-09,watches_gifts,South,0
2017-01-09,watches_gifts,Southeast,2
2017-01-16,auto,Central-West,0
2017-01-16,auto,North,0
2017-01-16,auto,Northeast,0
2017-01-16,auto,South,5
2017-01-16,auto,Southeast,6
2017-01-16,bed_bath_table,Central-West,0
2017-01-16,bed_bath_table,North,3
2017-01-16,bed_bath_table,Northeast,0
2017-01-16,bed_bath_table,South,1
2017-01-16,bed_bath_table,Southeast,7
2017-01-16,computers_accessories,Central-West,1
2017-01-16,computers_accessories,North,0
