scenario,policy,origin_week,region,service_gap
base,last_week,2018-05-28,Central-West,0.0
base,last_week,2018-05-28,North,0.0
base,last_week,2018-05-28,Northeast,0.0
base,last_week,2018-05-28,South,0.0
base,last_week,2018-05-28,Southeast,0.0
base,last_week,2018-06-04,Central-West,0.0
base,last_week,2018-06-04,North,5.0
base,last_week,2018-06-04,Northeast,16.3
base,last_week,2018-06-04,South,0.5
base,last_week,2018-06-04,Southeast,0.0
base,last_week,2018-06-11,Central-West,3.5
base,last_week,2018-06-11,North,7.2
base,last_week,2018-06-11,Northeast,39.1
base,last_week,2018-06-11,South,0.6
base,last_week,2018-06-11,Southeast,0.9
base,last_week,2018-06-18,Central-West,0.0
base,last_week,2018-06-18,North,0.0
base,last_week,2018-06-18,Northeast,0.0
base,last_week,2018-06-18,South,0.0
base,last_week,2018-06-18,Southeast,0.0
base,last_week,2018-06-25,Central-West,0.0
base,last_week,2018-06-25,North,0.0
base,last_week,2018-06-25,Northeast,0.0
base,last_week,2018-06-25,South,0.0
base,last_week,2018-06-25,Southeast,0.0
base,last_week,2018-07-02,Central-West,0.0
base,last_week,2018-07-02,North,0.0
base,last_week,2018-07-02,Northeast,0.0
base,last_week,2018-07-02,South,0.0
base,last_week,2018-07-02,Southeast,0.0
base,last_week,2018-07-09,Central-West,0.0
base,last_week,2018-07-09,North,0.0
base,last_week,2018-07-09,Northeast,0.0
base,last_week,2018-07-09,South,0.0
base,last_week,2018-07-09,Southeast,0.0
base,last_week,2018-07-16,Central-West,0.0
base,last_week,2018-07-16,North,0.0
base,last_week,2018-07-16,Northeast,0.0
base,last_week,2018-07-16,South,0.0
base,last_week,2018-07-16,Southeast,0.0
base,last_week,2018-07-23,Central-West,39.1
base,last_week,2018-07-23,North,23.6
base,last_week,2018-07-23,Northeast,76.7
base,last_week,2018-07-23,South,16.1
base,last_week,2018-07-23,Southeast,74.8
base,last_week,2018-07-30,Central-West,0.0
base,last_week,2018-07-30,North,0.0
base,last_week,2018-07-30,Northeast,0.0
base,last_week,2018-07-30,South,0.0
base,last_week,2018-07-30,Southeast,0.0
base,last_week,2018-08-06,Central-West,0.8
base,last_week,2018-08-06,North,2.8
base,last_week,2018-08-06,Northeast,0.7
base,last_week,2018-08-06,South,0.1
base,last_week,2018-08-06,Southeast,0.5
base,last_week,2018-08-13,Central-West,0.0
base,last_week,2018-08-13,North,0.0
base,last_week,2018-08-13,Northeast,0.0
base,last_week,2018-08-13,South,0.0
base,last_week,2018-08-13,Southeast,0.0
base,last_week,2018-08-20,Central-West,0.0
base,last_week,2018-08-20,North,0.0
base,last_week,2018-08-20,Northeast,0.0
base,last_week,2018-08-20,South,0.0
base,last_week,2018-08-20,Southeast,0.0
base,moving_average,2018-05-28,Central-West,0.0
base,moving_average,2018-05-28,North,0.0
base,moving_average,2018-05-28,Northeast,0.0
base,moving_average,2018-05-28,South,0.0
base,moving_average,2018-05-28,Southeast,0.0
base,moving_average,2018-06-04,Central-West,0.0
base,moving_average,2018-06-04,North,0.0
base,moving_average,2018-06-04,Northeast,0.0
base,moving_average,2018-06-04,South,0.0
base,moving_average,2018-06-04,Southeast,0.0
base,moving_average,2018-06-11,Central-West,0.0
base,moving_average,2018-06-11,North,0.0
base,moving_average,2018-06-11,Northeast,0.0
base,moving_average,2018-06-11,South,0.0
base,moving_average,2018-06-11,Southeast,0.0
base,moving_average,2018-06-18,Central-West,0.0
base,moving_average,2018-06-18,North,0.0
base,moving_average,2018-06-18,Northeast,0.0
base,moving_average,2018-06-18,South,0.0
base,moving_average,2018-06-18,Southeast,0.0
base,moving_average,2018-06-25,Central-West,0.0
base,moving_average,2018-06-25,North,0.0
base,moving_average,2018-06-25,Northeast,0.0
base,moving_average,2018-06-25,South,0.0
base,moving_average,2018-06-25,Southeast,0.0
base,moving_average,2018-07-02,Central-West,0.0
base,moving_average,2018-07-02,North,0.0
base,moving_average,2018-07-02,Northeast,0.0
base,moving_average,2018-07-02,South,0.0
base,moving_average,2018-07-02,Southeast,0.0
base,moving_average,2018-07-09,Central-West,0.0
base,moving_average,2018-07-09,North,0.0
base,moving_average,2018-07-09,Northeast,0.0
base,moving_average,2018-07-09,South,0.0
base,moving_average,2018-07-09,Southeast,0.0
base,moving_average,2018-07-16,Central-West,0.0
base,moving_average,2018-07-16,North,0.0
base,moving_average,2018-07-16,Northeast,0.0
base,moving_average,2018-07-16,South,0.0
base,moving_average,2018-07-16,Southeast,0.0
base,moving_average,2018-07-23,Central-West,0.0
base,moving_average,2018-07-23,North,0.0
base,moving_average,2018-07-23,Northeast,0.0
base,moving_average,2018-07-23,South,0.0
base,moving_average,2018-07-23,Southeast,0.0
base,moving_average,2018-07-30,Central-West,39.7
base,moving_average,2018-07-30,North,16.7
base,moving_average,2018-07-30,Northeast,63.9
base,moving_average,2018-07-30,South,0.0
base,moving_average,2018-07-30,Southeast,40.7
base,moving_average,2018-08-06,Central-West,1.8
base,moving_average,2018-08-06,North,12.8
base,moving_average,2018-08-06,Northeast,72.7
base,moving_average,2018-08-06,South,24.1
base,moving_average,2018-08-06,Southeast,0.5
base,moving_average,2018-08-13,Central-West,0.0
base,moving_average,2018-08-13,North,0.0
base,moving_average,2018-08-13,Northeast,0.0
base,moving_average,2018-08-13,South,0.0
base,moving_average,2018-08-13,Southeast,0.0
base,moving_average,2018-08-20,Central-West,0.0
base,moving_average,2018-08-20,North,0.0
base,moving_average,2018-08-20,Northeast,0.0
base,moving_average,2018-08-20,South,0.0
base,moving_average,2018-08-20,Southeast,0.0
base,ridge,2018-05-28,Central-West,0.0
base,ridge,2018-05-28,North,0.0
base,ridge,2018-05-28,Northeast,0.0
base,ridge,2018-05-28,South,0.0
base,ridge,2018-05-28,Southeast,0.0
base,ridge,2018-06-04,Central-West,0.0
base,ridge,2018-06-04,North,0.0
base,ridge,2018-06-04,Northeast,0.0
base,ridge,2018-06-04,South,0.0
base,ridge,2018-06-04,Southeast,0.0
base,ridge,2018-06-11,Central-West,0.5
base,ridge,2018-06-11,North,1.2
base,ridge,2018-06-11,Northeast,1.1
base,ridge,2018-06-11,South,0.6
base,ridge,2018-06-11,Southeast,0.9
base,ridge,2018-06-18,Central-West,0.0
base,ridge,2018-06-18,North,0.0
base,ridge,2018-06-18,Northeast,0.0
base,ridge,2018-06-18,South,0.0
base,ridge,2018-06-18,Southeast,0.0
base,ridge,2018-06-25,Central-West,0.0
base,ridge,2018-06-25,North,0.0
base,ridge,2018-06-25,Northeast,0.0
base,ridge,2018-06-25,South,0.0
base,ridge,2018-06-25,Southeast,0.0
base,ridge,2018-07-02,Central-West,0.0
base,ridge,2018-07-02,North,0.0
base,ridge,2018-07-02,Northeast,0.0
base,ridge,2018-07-02,South,0.0
base,ridge,2018-07-02,Southeast,0.0
base,ridge,2018-07-09,Central-West,0.0
base,ridge,2018-07-09,North,0.0
base,ridge,2018-07-09,Northeast,0.0
base,ridge,2018-07-09,South,0.0
base,ridge,2018-07-09,Southeast,0.0
base,ridge,2018-07-16,Central-West,0.0
base,ridge,2018-07-16,North,0.0
base,ridge,2018-07-16,Northeast,0.0
base,ridge,2018-07-16,South,0.0
base,ridge,2018-07-16,Southeast,0.0
base,ridge,2018-07-23,Central-West,11.1
base,ridge,2018-07-23,North,23.6
base,ridge,2018-07-23,Northeast,60.7
base,ridge,2018-07-23,South,29.1
base,ridge,2018-07-23,Southeast,0.0
base,ridge,2018-07-30,Central-West,0.7
base,ridge,2018-07-30,North,24.7
base,ridge,2018-07-30,Northeast,12.9
base,ridge,2018-07-30,South,0.8
base,ridge,2018-07-30,Southeast,0.7
base,ridge,2018-08-06,Central-West,0.0
base,ridge,2018-08-06,North,13.8
base,ridge,2018-08-06,Northeast,20.7
base,ridge,2018-08-06,South,0.1
base,ridge,2018-08-06,Southeast,0.5
base,ridge,2018-08-13,Central-West,0.0
base,ridge,2018-08-13,North,0.0
base,ridge,2018-08-13,Northeast,0.0
base,ridge,2018-08-13,South,0.0
base,ridge,2018-08-13,Southeast,0.0
base,ridge,2018-08-20,Central-West,0.0
base,ridge,2018-08-20,North,0.0
base,ridge,2018-08-20,Northeast,0.0
base,ridge,2018-08-20,South,0.0
base,ridge,2018-08-20,Southeast,0.0
