scenario,policy,origin_week,category,region,shortage_units
base,last_week,2018-05-28,auto,Central-West,0.0
base,last_week,2018-05-28,auto,North,0.0
base,last_week,2018-05-28,auto,Northeast,0.0
base,last_week,2018-05-28,auto,South,0.0
base,last_week,2018-05-28,auto,Southeast,0.0
base,last_week,2018-05-28,bed_bath_table,Central-West,0.0
base,last_week,2018-05-28,bed_bath_table,North,0.0
base,last_week,2018-05-28,bed_bath_table,Northeast,0.0
base,last_week,2018-05-28,bed_bath_table,South,0.0
base,last_week,2018-05-28,bed_bath_table,Southeast,0.0
base,last_week,2018-05-28,computers_accessories,Central-West,0.0
base,last_week,2018-05-28,computers_accessories,North,0.0
base,last_week,2018-05-28,computers_accessories,Northeast,0.0
base,last_week,2018-05-28,computers_accessories,South,0.0
base,last_week,2018-05-28,computers_accessories,Southeast,0.0
base,last_week,2018-05-28,furniture_decor,Central-West,0.0
base,last_week,2018-05-28,furniture_decor,North,0.0
base,last_week,2018-05-28,furniture_decor,Northeast,0.0
base,last_week,2018-05-28,furniture_decor,South,0.0
base,last_week,2018-05-28,furniture_decor,Southeast,0.0
base,last_week,2018-05-28,garden_tools,Central-West,0.0
base,last_week,2018-05-28,garden_tools,North,0.0
base,last_week,2018-05-28,garden_tools,Northeast,0.0
base,last_week,2018-05-28,garden_tools,South,0.0
base,last_week,2018-05-28,garden_tools,Southeast,0.0
base,last_week,2018-05-28,health_beauty,Central-West,0.0
base,last_week,2018-05-28,health_beauty,North,0.0
base,last_week,2018-05-28,health_beauty,Northeast,0.0
base,last_week,2018-05-28,health_beauty,South,0.0
base,last_week,2018-05-28,health_beauty,Southeast,0.0
base,last_week,2018-05-28,housewares,Central-West,0.0
base,last_week,2018-05-28,housewares,North,0.0
base,last_week,2018-05-28,housewares,Northeast,0.0
base,last_week,2018-05-28,housewares,South,0.0
base,last_week,2018-05-28,housewares,Southeast,0.0
base,last_week,2018-05-28,sports_leisure,Central-West,0.0
base,last_week,2018-05-28,sports_leisure,North,0.0
base,last_week,2018-05-28,sports_leisure,Northeast,0.0
base,last_week,2018-05-28,sports_leisure,South,0.0
base,last_week,2018-05-28,sports_leisure,Southeast,0.0
base,last_week,2018-05-28,telephony,Central-West,0.0
base,last_week,2018-05-28,telephony,North,0.0
base,last_week,2018-05-28,telephony,Northeast,0.0
base,last_week,2018-05-28,telephony,South,0.0
base,last_week,2018-05-28,telephony,Southeast,0.0
base,last_week,2018-05-28,watches_gifts,Central-West,0.0
base,last_week,2018-05-28,watches_gifts,North,0.0
base,last_week,2018-05-28,watches_gifts,Northeast,0.0
base,last_week,2018-05-28,watches_gifts,South,0.0
base,last_week,2018-05-28,watches_gifts,Southeast,0.0
base,last_week,2018-06-04,auto,Central-West,0.0
base,last_week,2018-06-04,auto,North,0.0
base,last_week,2018-06-04,auto,Northeast,6.0
base,last_week,2018-06-04,auto,South,0.0
base,last_week,2018-06-04,auto,Southeast,0.0
base,last_week,2018-06-04,bed_bath_table,Central-West,0.0
base,last_week,2018-06-04,bed_bath_table,North,0.0
base,last_week,2018-06-04,bed_bath_table,Northeast,6.0
base,last_week,2018-06-04,bed_bath_table,South,7.0
base,last_week,2018-06-04,bed_bath_table,Southeast,1.0
base,last_week,2018-06-04,computers_accessories,Central-West,0.0
base,last_week,2018-06-04,computers_accessories,North,0.0
base,last_week,2018-06-04,computers_accessories,Northeast,0.0
base,last_week,2018-06-04,computers_accessories,South,0.0
base,last_week,2018-06-04,computers_accessories,Southeast,0.0
base,last_week,2018-06-04,furniture_decor,Central-West,0.0
base,last_week,2018-06-04,furniture_decor,North,0.0
base,last_week,2018-06-04,furniture_decor,Northeast,0.0
base,last_week,2018-06-04,furniture_decor,South,0.0
base,last_week,2018-06-04,furniture_decor,Southeast,0.0
base,last_week,2018-06-04,garden_tools,Central-West,0.0
base,last_week,2018-06-04,garden_tools,North,0.0
base,last_week,2018-06-04,garden_tools,Northeast,0.0
base,last_week,2018-06-04,garden_tools,South,0.0
base,last_week,2018-06-04,garden_tools,Southeast,0.0
base,last_week,2018-06-04,health_beauty,Central-West,6.0
base,last_week,2018-06-04,health_beauty,North,8.0
base,last_week,2018-06-04,health_beauty,Northeast,13.0
base,last_week,2018-06-04,health_beauty,South,1.0
base,last_week,2018-06-04,health_beauty,Southeast,12.0
base,last_week,2018-06-04,housewares,Central-West,0.0
base,last_week,2018-06-04,housewares,North,0.0
base,last_week,2018-06-04,housewares,Northeast,0.0
base,last_week,2018-06-04,housewares,South,7.0
base,last_week,2018-06-04,housewares,Southeast,63.0
base,last_week,2018-06-04,sports_leisure,Central-West,0.0
base,last_week,2018-06-04,sports_leisure,North,0.0
base,last_week,2018-06-04,sports_leisure,Northeast,0.0
base,last_week,2018-06-04,sports_leisure,South,0.0
base,last_week,2018-06-04,sports_leisure,Southeast,0.0
base,last_week,2018-06-04,telephony,Central-West,0.0
base,last_week,2018-06-04,telephony,North,0.0
base,last_week,2018-06-04,telephony,Northeast,0.0
base,last_week,2018-06-04,telephony,South,0.0
base,last_week,2018-06-04,telephony,Southeast,0.0
base,last_week,2018-06-04,watches_gifts,Central-West,0.0
base,last_week,2018-06-04,watches_gifts,North,0.0
base,last_week,2018-06-04,watches_gifts,Northeast,0.0
base,last_week,2018-06-04,watches_gifts,South,0.0
base,last_week,2018-06-04,watches_gifts,Southeast,0.0
base,last_week,2018-06-11,auto,Central-West,0.0
base,last_week,2018-06-11,auto,North,0.0
base,last_week,2018-06-11,auto,Northeast,6.0
base,last_week,2018-06-11,auto,South,3.0
base,last_week,2018-06-11,auto,Southeast,2.0
base,last_week,2018-06-11,bed_bath_table,Central-West,0.0
base,last_week,2018-06-11,bed_bath_table,North,0.0
base,last_week,2018-06-11,bed_bath_table,Northeast,10.0
base,last_week,2018-06-11,bed_bath_table,South,6.0
base,last_week,2018-06-11,bed_bath_table,Southeast,33.0
base,last_week,2018-06-11,computers_accessories,Central-West,0.0
base,last_week,2018-06-11,computers_accessories,North,3.0
base,last_week,2018-06-11,computers_accessories,Northeast,7.0
base,last_week,2018-06-11,computers_accessories,South,0.0
base,last_week,2018-06-11,computers_accessories,Southeast,0.0
base,last_week,2018-06-11,furniture_decor,Central-West,0.0
base,last_week,2018-06-11,furniture_decor,North,0.0
base,last_week,2018-06-11,furniture_decor,Northeast,0.0
base,last_week,2018-06-11,furniture_decor,South,0.0
base,last_week,2018-06-11,furniture_decor,Southeast,0.0
base,last_week,2018-06-11,garden_tools,Central-West,0.0
base,last_week,2018-06-11,garden_tools,North,0.0
base,last_week,2018-06-11,garden_tools,Northeast,0.0
base,last_week,2018-06-11,garden_tools,South,0.0
base,last_week,2018-06-11,garden_tools,Southeast,0.0
base,last_week,2018-06-11,health_beauty,Central-West,9.0
base,last_week,2018-06-11,health_beauty,North,3.0
base,last_week,2018-06-11,health_beauty,Northeast,22.0
base,last_week,2018-06-11,health_beauty,South,5.0
base,last_week,2018-06-11,health_beauty,Southeast,48.0
base,last_week,2018-06-11,housewares,Central-West,0.0
base,last_week,2018-06-11,housewares,North,0.0
base,last_week,2018-06-11,housewares,Northeast,0.0
base,last_week,2018-06-11,housewares,South,0.0
base,last_week,2018-06-11,housewares,Southeast,0.0
base,last_week,2018-06-11,sports_leisure,Central-West,0.0
base,last_week,2018-06-11,sports_leisure,North,0.0
base,last_week,2018-06-11,sports_leisure,Northeast,0.0
base,last_week,2018-06-11,sports_leisure,South,0.0
base,last_week,2018-06-11,sports_leisure,Southeast,0.0
base,last_week,2018-06-11,telephony,Central-West,0.0
base,last_week,2018-06-11,telephony,North,0.0
base,last_week,2018-06-11,telephony,Northeast,0.0
base,last_week,2018-06-11,telephony,South,0.0
base,last_week,2018-06-11,telephony,Southeast,0.0
base,last_week,2018-06-11,watches_gifts,Central-West,0.0
base,last_week,2018-06-11,watches_gifts,North,3.0
base,last_week,2018-06-11,watches_gifts,Northeast,4.0
base,last_week,2018-06-11,watches_gifts,South,0.0
base,last_week,2018-06-11,watches_gifts,Southeast,0.0
base,last_week,2018-06-18,auto,Central-West,0.0
base,last_week,2018-06-18,auto,North,0.0
base,last_week,2018-06-18,auto,Northeast,0.0
base,last_week,2018-06-18,auto,South,0.0
base,last_week,2018-06-18,auto,Southeast,0.0
base,last_week,2018-06-18,bed_bath_table,Central-West,0.0
base,last_week,2018-06-18,bed_bath_table,North,0.0
base,last_week,2018-06-18,bed_bath_table,Northeast,0.0
base,last_week,2018-06-18,bed_bath_table,South,0.0
base,last_week,2018-06-18,bed_bath_table,Southeast,0.0
base,last_week,2018-06-18,computers_accessories,Central-West,0.0
base,last_week,2018-06-18,computers_accessories,North,0.0
base,last_week,2018-06-18,computers_accessories,Northeast,0.0
base,last_week,2018-06-18,computers_accessories,South,0.0
base,last_week,2018-06-18,computers_accessories,Southeast,0.0
base,last_week,2018-06-18,furniture_decor,Central-West,0.0
base,last_week,2018-06-18,furniture_decor,North,0.0
base,last_week,2018-06-18,furniture_decor,Northeast,0.0
base,last_week,2018-06-18,furniture_decor,South,0.0
base,last_week,2018-06-18,furniture_decor,Southeast,0.0
base,last_week,2018-06-18,garden_tools,Central-West,0.0
base,last_week,2018-06-18,garden_tools,North,0.0
base,last_week,2018-06-18,garden_tools,Northeast,0.0
base,last_week,2018-06-18,garden_tools,South,0.0
base,last_week,2018-06-18,garden_tools,Southeast,0.0
base,last_week,2018-06-18,health_beauty,Central-West,0.0
base,last_week,2018-06-18,health_beauty,North,0.0
base,last_week,2018-06-18,health_beauty,Northeast,0.0
base,last_week,2018-06-18,health_beauty,South,0.0
base,last_week,2018-06-18,health_beauty,Southeast,0.0
base,last_week,2018-06-18,housewares,Central-West,0.0
base,last_week,2018-06-18,housewares,North,0.0
base,last_week,2018-06-18,housewares,Northeast,0.0
base,last_week,2018-06-18,housewares,South,0.0
base,last_week,2018-06-18,housewares,Southeast,0.0
base,last_week,2018-06-18,sports_leisure,Central-West,0.0
base,last_week,2018-06-18,sports_leisure,North,0.0
base,last_week,2018-06-18,sports_leisure,Northeast,0.0
base,last_week,2018-06-18,sports_leisure,South,0.0
base,last_week,2018-06-18,sports_leisure,Southeast,0.0
base,last_week,2018-06-18,telephony,Central-West,0.0
base,last_week,2018-06-18,telephony,North,0.0
base,last_week,2018-06-18,telephony,Northeast,0.0
base,last_week,2018-06-18,telephony,South,0.0
base,last_week,2018-06-18,telephony,Southeast,0.0
base,last_week,2018-06-18,watches_gifts,Central-West,0.0
base,last_week,2018-06-18,watches_gifts,North,0.0
base,last_week,2018-06-18,watches_gifts,Northeast,0.0
base,last_week,2018-06-18,watches_gifts,South,0.0
base,last_week,2018-06-18,watches_gifts,Southeast,0.0
base,last_week,2018-06-25,auto,Central-West,0.0
base,last_week,2018-06-25,auto,North,0.0
base,last_week,2018-06-25,auto,Northeast,0.0
base,last_week,2018-06-25,auto,South,0.0
base,last_week,2018-06-25,auto,Southeast,0.0
base,last_week,2018-06-25,bed_bath_table,Central-West,0.0
base,last_week,2018-06-25,bed_bath_table,North,0.0
base,last_week,2018-06-25,bed_bath_table,Northeast,0.0
base,last_week,2018-06-25,bed_bath_table,South,0.0
base,last_week,2018-06-25,bed_bath_table,Southeast,0.0
base,last_week,2018-06-25,computers_accessories,Central-West,0.0
base,last_week,2018-06-25,computers_accessories,North,0.0
base,last_week,2018-06-25,computers_accessories,Northeast,0.0
base,last_week,2018-06-25,computers_accessories,South,0.0
base,last_week,2018-06-25,computers_accessories,Southeast,0.0
base,last_week,2018-06-25,furniture_decor,Central-West,0.0
base,last_week,2018-06-25,furniture_decor,North,0.0
base,last_week,2018-06-25,furniture_decor,Northeast,0.0
base,last_week,2018-06-25,furniture_decor,South,0.0
base,last_week,2018-06-25,furniture_decor,Southeast,0.0
base,last_week,2018-06-25,garden_tools,Central-West,0.0
base,last_week,2018-06-25,garden_tools,North,0.0
base,last_week,2018-06-25,garden_tools,Northeast,0.0
base,last_week,2018-06-25,garden_tools,South,0.0
base,last_week,2018-06-25,garden_tools,Southeast,0.0
base,last_week,2018-06-25,health_beauty,Central-West,0.0
base,last_week,2018-06-25,health_beauty,North,0.0
base,last_week,2018-06-25,health_beauty,Northeast,0.0
base,last_week,2018-06-25,health_beauty,South,0.0
base,last_week,2018-06-25,health_beauty,Southeast,0.0
base,last_week,2018-06-25,housewares,Central-West,0.0
base,last_week,2018-06-25,housewares,North,0.0
base,last_week,2018-06-25,housewares,Northeast,0.0
base,last_week,2018-06-25,housewares,South,0.0
base,last_week,2018-06-25,housewares,Southeast,0.0
base,last_week,2018-06-25,sports_leisure,Central-West,0.0
base,last_week,2018-06-25,sports_leisure,North,0.0
base,last_week,2018-06-25,sports_leisure,Northeast,0.0
base,last_week,2018-06-25,sports_leisure,South,0.0
base,last_week,2018-06-25,sports_leisure,Southeast,0.0
base,last_week,2018-06-25,telephony,Central-West,0.0
base,last_week,2018-06-25,telephony,North,0.0
base,last_week,2018-06-25,telephony,Northeast,0.0
base,last_week,2018-06-25,telephony,South,0.0
base,last_week,2018-06-25,telephony,Southeast,0.0
base,last_week,2018-06-25,watches_gifts,Central-West,0.0
base,last_week,2018-06-25,watches_gifts,North,0.0
base,last_week,2018-06-25,watches_gifts,Northeast,0.0
base,last_week,2018-06-25,watches_gifts,South,0.0
base,last_week,2018-06-25,watches_gifts,Southeast,0.0
base,last_week,2018-07-02,auto,Central-West,0.0
base,last_week,2018-07-02,auto,North,0.0
base,last_week,2018-07-02,auto,Northeast,0.0
base,last_week,2018-07-02,auto,South,0.0
base,last_week,2018-07-02,auto,Southeast,0.0
