scenario,policy,week,hub,category,region,quantity
base,last_week,2018-05-28,MG,bed_bath_table,Central-West,3.0
base,last_week,2018-05-28,MG,bed_bath_table,Northeast,5.0
base,last_week,2018-05-28,MG,computers_accessories,Northeast,7.0
base,last_week,2018-05-28,MG,furniture_decor,Central-West,7.0
base,last_week,2018-05-28,MG,furniture_decor,Northeast,5.0
base,last_week,2018-05-28,MG,health_beauty,Northeast,10.0
base,last_week,2018-05-28,MG,sports_leisure,Northeast,5.0
base,last_week,2018-05-28,MG,telephony,North,1.0
base,last_week,2018-05-28,PR,auto,South,4.0
base,last_week,2018-05-28,PR,furniture_decor,South,9.0
base,last_week,2018-05-28,PR,health_beauty,South,7.0
base,last_week,2018-05-28,PR,housewares,South,9.0
base,last_week,2018-05-28,PR,sports_leisure,South,3.0
base,last_week,2018-05-28,PR,watches_gifts,South,4.0
base,last_week,2018-05-28,RJ,auto,Central-West,3.0
base,last_week,2018-05-28,RJ,bed_bath_table,South,3.0
base,last_week,2018-05-28,RJ,furniture_decor,Northeast,3.0
base,last_week,2018-05-28,RJ,garden_tools,Northeast,1.0
base,last_week,2018-05-28,RJ,housewares,Northeast,4.0
base,last_week,2018-05-28,RJ,sports_leisure,Central-West,6.0
base,last_week,2018-05-28,RJ,sports_leisure,North,3.0
base,last_week,2018-05-28,RJ,telephony,North,1.0
base,last_week,2018-05-28,RS,auto,South,2.0
base,last_week,2018-05-28,RS,bed_bath_table,South,1.0
base,last_week,2018-05-28,RS,computers_accessories,South,1.0
base,last_week,2018-05-28,RS,furniture_decor,South,2.0
base,last_week,2018-05-28,RS,health_beauty,South,4.0
base,last_week,2018-05-28,RS,housewares,South,2.0
base,last_week,2018-05-28,SC,bed_bath_table,South,10.0
base,last_week,2018-05-28,SC,computers_accessories,South,4.0
base,last_week,2018-05-28,SC,furniture_decor,South,2.0
base,last_week,2018-05-28,SC,garden_tools,South,2.0
base,last_week,2018-05-28,SC,sports_leisure,South,15.0
base,last_week,2018-05-28,SP,auto,Central-West,1.0
base,last_week,2018-05-28,SP,auto,Northeast,7.0
base,last_week,2018-05-28,SP,auto,Southeast,24.0
base,last_week,2018-05-28,SP,bed_bath_table,Central-West,1.0
base,last_week,2018-05-28,SP,bed_bath_table,Southeast,110.0
base,last_week,2018-05-28,SP,computers_accessories,Central-West,2.0
base,last_week,2018-05-28,SP,computers_accessories,Southeast,37.0
base,last_week,2018-05-28,SP,furniture_decor,Southeast,60.0
base,last_week,2018-05-28,SP,garden_tools,Northeast,5.0
base,last_week,2018-05-28,SP,garden_tools,Southeast,20.0
base,last_week,2018-05-28,SP,health_beauty,Central-West,6.0
base,last_week,2018-05-28,SP,health_beauty,North,1.0
base,last_week,2018-05-28,SP,health_beauty,Northeast,5.0
base,last_week,2018-05-28,SP,health_beauty,Southeast,80.0
base,last_week,2018-05-28,SP,housewares,Central-West,4.0
base,last_week,2018-05-28,SP,housewares,North,1.0
base,last_week,2018-05-28,SP,housewares,Northeast,2.0
base,last_week,2018-05-28,SP,housewares,Southeast,102.0
base,last_week,2018-05-28,SP,sports_leisure,Southeast,52.0
base,last_week,2018-05-28,SP,telephony,Central-West,2.0
base,last_week,2018-05-28,SP,telephony,North,1.0
base,last_week,2018-05-28,SP,telephony,Northeast,8.0
base,last_week,2018-05-28,SP,telephony,South,8.0
