scenario,policy,origin_week,hub,used_capacity_kg,available_capacity_kg,capacity_utilization
base,last_week,2018-05-28,MG,35.625,450.2017800000001,0.0791311842436518
base,last_week,2018-05-28,PR,32.429,260.85037500000004,0.12432031197961665
base,last_week,2018-05-28,RJ,23.47,79.95442500000001,0.29354222733763635
base,last_week,2018-05-28,RS,9.985000000000001,60.487019999999994,0.16507673877800563
base,last_week,2018-05-28,SC,30.5,224.56116,0.13582045978031107
base,last_week,2018-05-28,SP,545.176,2165.512725,0.25175377346258726
base,last_week,2018-06-04,MG,65.538,450.2017800000001,0.1455747242936267
base,last_week,2018-06-04,PR,53.713,260.85037500000004,0.20591498095411975
base,last_week,2018-06-04,RJ,50.292,79.95442500000001,0.6290083381876612
base,last_week,2018-06-04,RS,24.035,60.487019999999994,0.3973579786208678
base,last_week,2018-06-04,SC,36.782,224.56116,0.16379502136522628
base,last_week,2018-06-04,SP,546.1560000000001,2165.512725,0.25220632217711864
base,last_week,2018-06-11,MG,45.475,450.2017800000001,0.1010102625538264
base,last_week,2018-06-11,PR,54.923,260.85037500000004,0.21055365551995084
base,last_week,2018-06-11,RJ,52.961,79.95442500000001,0.6623898552206459
base,last_week,2018-06-11,RS,26.496,60.487019999999994,0.4380443936566887
base,last_week,2018-06-11,SC,20.376,224.56116,0.09073697339290553
base,last_week,2018-06-11,SP,581.578,2165.512725,0.26856364928541343
base,last_week,2018-06-18,MG,39.575,450.2017800000001,0.08790502782996547
base,last_week,2018-06-18,PR,60.828,260.85037500000004,0.23319115412427524
base,last_week,2018-06-18,RJ,50.64,79.95442500000001,0.6333608177408566
base,last_week,2018-06-18,RS,23.400000000000002,60.487019999999994,0.38685985852832566
base,last_week,2018-06-18,SC,34.855000000000004,224.56116,0.15521384018500797
base,last_week,2018-06-18,SP,656.604,2165.512725,0.3032094858736053
base,last_week,2018-06-25,MG,55.5,450.2017800000001,0.12327805545326806
base,last_week,2018-06-25,PR,50.963,260.85037500000004,0.1953725387590491
base,last_week,2018-06-25,RJ,39.14,79.95442500000001,0.48952887848296067
base,last_week,2018-06-25,RS,25.05,60.487019999999994,0.4141384382963486
base,last_week,2018-06-25,SC,44.809,224.56116,0.19954029450150684
base,last_week,2018-06-25,SP,709.47,2165.512725,0.32762218010055794
base,last_week,2018-07-02,MG,68.175,450.2017800000001,0.15143209784732523
base,last_week,2018-07-02,PR,32.233000000000004,260.85037500000004,0.1235689233722589
base,last_week,2018-07-02,RJ,39.99,79.95442500000001,0.5001599348628921
base,last_week,2018-07-02,RS,46.870000000000005,60.487019999999994,0.7748769901377189
base,last_week,2018-07-02,SC,25.213,224.56116,0.1122767623751142
base,last_week,2018-07-02,SP,522.205,2165.512725,0.24114612395085328
base,last_week,2018-07-09,MG,37.85,450.2017800000001,0.08407341259290443
base,last_week,2018-07-09,PR,25.718,260.85037500000004,0.09859291940830063
base,last_week,2018-07-09,RJ,42.589999999999996,79.95442500000001,0.5326784602603294
base,last_week,2018-07-09,RS,22.175,60.487019999999994,0.3666075796096419
base,last_week,2018-07-09,SC,22.192999999999998,224.56116,0.09882831029194897
base,last_week,2018-07-09,SP,347.59000000000003,2165.512725,0.16051164049382347
base,last_week,2018-07-16,MG,46.775,450.2017800000001,0.10389785664552456
base,last_week,2018-07-16,PR,76.288,260.85037500000004,0.2924588473372905
base,last_week,2018-07-16,RJ,53.09,79.95442500000001,0.664003274365365
base,last_week,2018-07-16,RS,31.198,60.487019999999994,0.5157800797592608
base,last_week,2018-07-16,SC,26.645999999999997,224.56116,0.11865809741987438
base,last_week,2018-07-16,SP,703.975,2165.512725,0.3250846748083644
base,last_week,2018-07-23,MG,48.875,450.2017800000001,0.1085624317167293
base,last_week,2018-07-23,PR,41.768,260.85037500000004,0.16012244567407655
base,last_week,2018-07-23,RJ,54.34,79.95442500000001,0.6796371808064405
base,last_week,2018-07-23,RS,27.865000000000002,60.487019999999994,0.4606773486278545
base,last_week,2018-07-23,SC,49.812999999999995,224.56116,0.22182375616513558
base,last_week,2018-07-23,SP,453.565,2165.512725,0.20944924255755643
base,last_week,2018-07-30,MG,55.6,450.2017800000001,0.12350017807570639
base,last_week,2018-07-30,PR,66.353,260.85037500000004,0.25437187889800805
base,last_week,2018-07-30,RJ,46.69,79.95442500000001,0.5839576733870575
base,last_week,2018-07-30,RS,37.480000000000004,60.487019999999994,0.6196370725487883
base,last_week,2018-07-30,SC,34.239,224.56116,0.15247071221042854
base,last_week,2018-07-30,SP,831.6410000000001,2165.512725,0.38403884234852514
base,last_week,2018-08-06,MG,38.975,450.2017800000001,0.08657229209533554
base,last_week,2018-08-06,PR,71.58500000000001,260.85037500000004,0.27442935437604793
base,last_week,2018-08-06,RJ,53.04,79.95442500000001,0.6633779181077218
base,last_week,2018-08-06,RS,39.006,60.487019999999994,0.6448656257160628
base,last_week,2018-08-06,SC,63.900999999999996,224.56116,0.2845594491941527
