method,horizon,observations,MAE,WAPE,bias
ridge,1,650,6.865747951624589,0.3128013015038889,-0.12295660432628648
moving_average,1,650,7.4884615384615385,0.34117193523515804,-0.033846153846153845
last_week,1,650,7.626153846153846,0.3474451531506273,-0.02923076923076923
ridge,2,600,7.31439598775705,0.32571156246506083,-0.9996900031602091
moving_average,2,600,7.7872916666666665,0.3467697046162981,-1.0572916666666667
last_week,2,600,8.613333333333333,0.3835535104645985,-0.9866666666666667
ridge,3,550,7.626030465854661,0.33846971886863003,-1.442323338561511
moving_average,3,550,7.889034090909091,0.3501427332149774,-1.7360227272727273
last_week,3,550,9.376363636363637,0.4161555842479019,-1.7472727272727273
moving_average,4,500,7.526203125,0.3340525133155792,-2.174828125
ridge,4,500,7.6353103004762355,0.33889526411345916,-1.8050084149020844
last_week,4,500,9.204,0.4085219707057257,-2.632
