hub,category,region,sample_size,raw_late_dispatch_rate,raw_late_delivery_rate,median_freight,median_approval_to_carrier_days,shipping_cost,late_probability,supplier_risk,expected_risk_cost_per_unit,risk_adjusted_route_cost,evidence_level
PR,bed_bath_table,Southeast,73,0.5352112676056338,0.30434782608695654,23.85,6.368229166666667,23.85,0.22909913093719705,0.3510183660665466,3.5878848778303096,27.43788487783031,high
PR,bed_bath_table,South,35,0.20588235294117646,0.12121212121212122,18.83,2.719994212962963,18.83,0.10038690613924255,0.3510183660665466,2.5581870794466735,21.388187079446674,high
PR,bed_bath_table,Northeast,4,0.25,0.25,44.29,2.0614872685185186,44.29,0.09811050301201266,0.3510183660665466,2.5399758544288344,46.82997585442883,low
PR,bed_bath_table,Central-West,7,0.14285714285714285,0.14285714285714285,33.43,4.655891203703704,33.43,0.09110260993972603,0.3510183660665466,2.4839127098505416,35.91391270985054,low
PR,bed_bath_table,North,2,0.5,0.0,48.655,3.591875,48.655,0.07638674641806739,0.3510183660665466,2.3661858016772723,51.02118580167728,low
PR,computers_accessories,Northeast,44,0.32558139534883723,0.23255813953488372,42.92,2.6221296296296295,42.92,0.1644398668906217,0.1773420379704727,2.202229124977337,45.12222912497734,high
MG,telephony,Southeast,35,0.2571428571428571,0.23529411764705882,15.1,2.9496527777777777,15.1,0.15690303793432597,0.1717693851762841,2.1140712293560284,17.21407122935603,high
RJ,watches_gifts,Northeast,89,0.19318181818181818,0.19767441860465115,23.63,2.728877314814815,23.63,0.16385379849147513,0.15882627750002945,2.1049617754319483,25.734961775431948,high
RS,furniture_decor,Central-West,3,0.6666666666666666,0.6666666666666666,20.74,48.215069444444445,20.74,0.12700814782811826,0.21094094887380407,2.0707699269939663,22.810769926993963,low
PR,furniture_decor,Northeast,87,0.09302325581395349,0.23529411764705882,34.15,1.9743749999999998,34.15,0.19021924681223742,0.10182070056256835,2.0308574773107413,36.18085747731074,high
MG,furniture_decor,Northeast,57,0.19298245614035087,0.21052631578947367,24.55,2.8589467592592595,24.55,0.1611555393203097,0.14753913087566187,2.0269399689407868,26.57693996894079,high
SC,telephony,Northeast,6,0.16666666666666666,0.6666666666666666,42.97,1.7277199074074074,42.97,0.1664953565236218,0.11494532934395214,1.906689498908735,44.87668949890873,low
SP,garden_tools,Northeast,307,0.11074918566775244,0.18874172185430463,28.79,2.9919444444444445,28.79,0.1775261412981261,0.09298103520062254,1.8851143063881215,30.67511430638812,high
SP,health_beauty,Northeast,763,0.05774278215223097,0.18463611859838275,24.72,1.7752719907407408,24.72,0.17995664043432238,0.0852312442959161,1.8658093449541595,26.585809344954157,high
SP,furniture_decor,Northeast,454,0.11333333333333333,0.16628175519630484,25.61,2.566429398148148,25.61,0.15988527696040278,0.11310475074477826,1.8446059694071135,27.454605969407112,high
SC,auto,Southeast,112,0.12612612612612611,0.1743119266055046,41.43,1.7167476851851853,41.43,0.15157159456575342,0.12594051128613543,1.8422753129567044,43.2722753129567,high
PR,telephony,Northeast,12,0.25,0.16666666666666666,39.1,3.700434027777778,39.1,0.10268743866954241,0.19445528759189148,1.7937759473157966,40.893775947315795,medium
SP,telephony,Northeast,545,0.09796672828096119,0.1634980988593156,21.15,2.312685185185185,21.15,0.15833566776732352,0.09768644047983457,1.755117544537761,22.90511754453776,high
SP,computers_accessories,North,72,0.08450704225352113,0.19117647058823528,25.63,1.8810763888888888,25.63,0.15365349143173293,0.10332894174992856,1.745872640203506,27.375872640203504,high
RS,health_beauty,Northeast,5,0.0,0.4,31.82,1.3858333333333333,31.82,0.12065774043671233,0.14968929341437812,1.7137083905655892,33.53370839056559,low
RS,furniture_decor,North,1,0.0,0.0,26.3,1.447673611111111,26.3,0.07850860048523593,0.21094094887380407,1.6827735482509079,27.982773548250908,low
RS,furniture_decor,Northeast,2,0.0,0.0,41.195,3.052795138888889,41.195,0.07638674641806739,0.21094094887380407,1.6657987157135594,42.86079871571356,low
RS,computers_accessories,Northeast,26,0.19230769230769232,0.23076923076923078,40.585,2.0903935185185185,40.585,0.14469360028636874,0.0995179866686702,1.655138735634301,42.240138735634304,medium
