scenario,policy,origin_week,hub,category,ending_inventory
base,last_week,2018-05-28,SP,auto,48.0
base,last_week,2018-05-28,SP,bed_bath_table,119.0
base,last_week,2018-05-28,SP,computers_accessories,45.0
base,last_week,2018-05-28,SP,furniture_decor,86.0
base,last_week,2018-05-28,SP,garden_tools,51.0
base,last_week,2018-05-28,SP,health_beauty,68.0
base,last_week,2018-05-28,SP,housewares,8.0
base,last_week,2018-05-28,SP,sports_leisure,78.0
base,last_week,2018-05-28,SP,telephony,61.0
base,last_week,2018-05-28,SP,watches_gifts,27.0
base,last_week,2018-05-28,PR,auto,0.0
base,last_week,2018-05-28,PR,bed_bath_table,3.0
base,last_week,2018-05-28,PR,computers_accessories,41.0
base,last_week,2018-05-28,PR,furniture_decor,18.0
base,last_week,2018-05-28,PR,garden_tools,5.0
base,last_week,2018-05-28,PR,health_beauty,9.0
base,last_week,2018-05-28,PR,housewares,0.0
base,last_week,2018-05-28,PR,sports_leisure,29.0
base,last_week,2018-05-28,PR,telephony,2.0
base,last_week,2018-05-28,PR,watches_gifts,0.0
base,last_week,2018-05-28,MG,auto,6.0
base,last_week,2018-05-28,MG,bed_bath_table,0.0
base,last_week,2018-05-28,MG,computers_accessories,33.0
base,last_week,2018-05-28,MG,furniture_decor,2.0
base,last_week,2018-05-28,MG,garden_tools,14.0
base,last_week,2018-05-28,MG,health_beauty,0.0
base,last_week,2018-05-28,MG,housewares,20.0
base,last_week,2018-05-28,MG,sports_leisure,7.0
base,last_week,2018-05-28,MG,telephony,0.0
base,last_week,2018-05-28,MG,watches_gifts,3.0
base,last_week,2018-05-28,RJ,auto,0.0
base,last_week,2018-05-28,RJ,bed_bath_table,0.0
base,last_week,2018-05-28,RJ,computers_accessories,3.0
base,last_week,2018-05-28,RJ,furniture_decor,0.0
base,last_week,2018-05-28,RJ,garden_tools,0.0
base,last_week,2018-05-28,RJ,health_beauty,27.0
base,last_week,2018-05-28,RJ,housewares,0.0
base,last_week,2018-05-28,RJ,sports_leisure,0.0
base,last_week,2018-05-28,RJ,telephony,0.0
base,last_week,2018-05-28,RJ,watches_gifts,13.0
base,last_week,2018-05-28,SC,auto,4.0
base,last_week,2018-05-28,SC,bed_bath_table,3.0
base,last_week,2018-05-28,SC,computers_accessories,0.0
base,last_week,2018-05-28,SC,furniture_decor,0.0
base,last_week,2018-05-28,SC,garden_tools,1.0
base,last_week,2018-05-28,SC,health_beauty,7.0
base,last_week,2018-05-28,SC,housewares,8.0
base,last_week,2018-05-28,SC,sports_leisure,0.0
base,last_week,2018-05-28,SC,telephony,1.0
base,last_week,2018-05-28,SC,watches_gifts,6.0
base,last_week,2018-05-28,RS,auto,0.0
base,last_week,2018-05-28,RS,bed_bath_table,0.0
base,last_week,2018-05-28,RS,computers_accessories,9.0
base,last_week,2018-05-28,RS,furniture_decor,0.0
base,last_week,2018-05-28,RS,garden_tools,1.0
base,last_week,2018-05-28,RS,health_beauty,0.0
base,last_week,2018-05-28,RS,housewares,2.0
base,last_week,2018-05-28,RS,sports_leisure,3.0
base,last_week,2018-05-28,RS,telephony,0.0
base,last_week,2018-05-28,RS,watches_gifts,1.0
base,last_week,2018-06-04,SP,auto,0.0
base,last_week,2018-06-04,SP,bed_bath_table,0.0
base,last_week,2018-06-04,SP,computers_accessories,14.0
base,last_week,2018-06-04,SP,furniture_decor,61.0
base,last_week,2018-06-04,SP,garden_tools,32.0
base,last_week,2018-06-04,SP,health_beauty,0.0
base,last_week,2018-06-04,SP,housewares,0.0
base,last_week,2018-06-04,SP,sports_leisure,17.0
base,last_week,2018-06-04,SP,telephony,30.0
base,last_week,2018-06-04,SP,watches_gifts,0.0
base,last_week,2018-06-04,PR,auto,0.0
base,last_week,2018-06-04,PR,bed_bath_table,0.0
base,last_week,2018-06-04,PR,computers_accessories,37.0
base,last_week,2018-06-04,PR,furniture_decor,1.0
base,last_week,2018-06-04,PR,garden_tools,5.0
base,last_week,2018-06-04,PR,health_beauty,0.0
base,last_week,2018-06-04,PR,housewares,0.0
base,last_week,2018-06-04,PR,sports_leisure,22.0
base,last_week,2018-06-04,PR,telephony,2.0
base,last_week,2018-06-04,PR,watches_gifts,0.0
base,last_week,2018-06-04,MG,auto,0.0
base,last_week,2018-06-04,MG,bed_bath_table,0.0
base,last_week,2018-06-04,MG,computers_accessories,17.0
base,last_week,2018-06-04,MG,furniture_decor,15.0
base,last_week,2018-06-04,MG,garden_tools,14.0
base,last_week,2018-06-04,MG,health_beauty,0.0
base,last_week,2018-06-04,MG,housewares,0.0
base,last_week,2018-06-04,MG,sports_leisure,0.0
base,last_week,2018-06-04,MG,telephony,0.0
base,last_week,2018-06-04,MG,watches_gifts,0.0
base,last_week,2018-06-04,RJ,auto,0.0
base,last_week,2018-06-04,RJ,bed_bath_table,0.0
base,last_week,2018-06-04,RJ,computers_accessories,3.0
