scenario,policy,origin_week,target_week,horizon,hub,category,region,quantity
base,last_week,2018-05-28,2018-05-28,1,MG,auto,Northeast,6.0
base,last_week,2018-05-28,2018-05-28,1,MG,bed_bath_table,North,1.0
base,last_week,2018-05-28,2018-05-28,1,MG,bed_bath_table,Northeast,7.0
base,last_week,2018-05-28,2018-06-04,2,MG,bed_bath_table,Central-West,6.0
base,last_week,2018-05-28,2018-06-04,2,MG,bed_bath_table,Northeast,8.0
base,last_week,2018-05-28,2018-06-11,3,MG,bed_bath_table,Central-West,6.0
base,last_week,2018-05-28,2018-06-11,3,MG,bed_bath_table,Northeast,8.0
base,last_week,2018-05-28,2018-06-18,4,MG,bed_bath_table,Central-West,6.0
base,last_week,2018-05-28,2018-06-18,4,MG,bed_bath_table,Northeast,8.0
base,last_week,2018-05-28,2018-05-28,1,MG,computers_accessories,North,1.0
base,last_week,2018-05-28,2018-05-28,1,MG,computers_accessories,Northeast,13.0
base,last_week,2018-05-28,2018-06-04,2,MG,computers_accessories,Northeast,13.0
base,last_week,2018-05-28,2018-06-11,3,MG,computers_accessories,Northeast,13.0
base,last_week,2018-05-28,2018-06-18,4,MG,computers_accessories,Northeast,13.0
base,last_week,2018-05-28,2018-05-28,1,MG,furniture_decor,Central-West,9.0
base,last_week,2018-05-28,2018-05-28,1,MG,furniture_decor,Northeast,5.0
base,last_week,2018-05-28,2018-06-04,2,MG,furniture_decor,Central-West,11.0
base,last_week,2018-05-28,2018-06-04,2,MG,furniture_decor,Northeast,3.0
base,last_week,2018-05-28,2018-06-11,3,MG,furniture_decor,Central-West,11.0
base,last_week,2018-05-28,2018-06-11,3,MG,furniture_decor,Northeast,3.0
base,last_week,2018-05-28,2018-06-18,4,MG,furniture_decor,Central-West,11.0
base,last_week,2018-05-28,2018-06-18,4,MG,furniture_decor,Northeast,3.0
base,last_week,2018-05-28,2018-05-28,1,MG,garden_tools,Southeast,14.0
base,last_week,2018-05-28,2018-05-28,1,MG,health_beauty,Northeast,10.0
base,last_week,2018-05-28,2018-06-04,2,MG,health_beauty,Northeast,13.0
base,last_week,2018-05-28,2018-06-11,3,MG,health_beauty,Northeast,13.0
base,last_week,2018-05-28,2018-06-18,4,MG,health_beauty,Northeast,13.0
base,last_week,2018-05-28,2018-05-28,1,MG,housewares,Central-West,2.0
base,last_week,2018-05-28,2018-05-28,1,MG,housewares,Southeast,12.0
base,last_week,2018-05-28,2018-06-04,2,MG,housewares,Central-West,2.0
base,last_week,2018-05-28,2018-06-11,3,MG,housewares,Central-West,2.0
base,last_week,2018-05-28,2018-06-18,4,MG,housewares,Central-West,2.0
base,last_week,2018-05-28,2018-05-28,1,MG,sports_leisure,Northeast,6.0
base,last_week,2018-05-28,2018-06-04,2,MG,sports_leisure,Northeast,6.0
