scenario,policy,origin_week,target_week,horizon,region,service_gap
base,last_week,2018-05-28,2018-05-28,1,Central-West,0.0
base,last_week,2018-05-28,2018-06-04,2,Central-West,0.0
base,last_week,2018-05-28,2018-06-11,3,Central-West,0.0
base,last_week,2018-05-28,2018-06-18,4,Central-West,0.0
base,last_week,2018-05-28,2018-05-28,1,North,0.0
base,last_week,2018-05-28,2018-06-04,2,North,0.0
base,last_week,2018-05-28,2018-06-11,3,North,0.0
base,last_week,2018-05-28,2018-06-18,4,North,0.0
base,last_week,2018-05-28,2018-05-28,1,Northeast,0.0
base,last_week,2018-05-28,2018-06-04,2,Northeast,0.0
base,last_week,2018-05-28,2018-06-11,3,Northeast,0.0
base,last_week,2018-05-28,2018-06-18,4,Northeast,0.0
base,last_week,2018-05-28,2018-05-28,1,South,0.0
base,last_week,2018-05-28,2018-06-04,2,South,0.0
base,last_week,2018-05-28,2018-06-11,3,South,0.0
base,last_week,2018-05-28,2018-06-18,4,South,0.0
base,last_week,2018-05-28,2018-05-28,1,Southeast,0.0
base,last_week,2018-05-28,2018-06-04,2,Southeast,0.0
base,last_week,2018-05-28,2018-06-11,3,Southeast,0.0
base,last_week,2018-05-28,2018-06-18,4,Southeast,0.0
base,last_week,2018-06-04,2018-06-04,1,Central-West,0.3
base,last_week,2018-06-04,2018-06-11,2,Central-West,0.0
base,last_week,2018-06-04,2018-06-18,3,Central-West,0.0
base,last_week,2018-06-04,2018-06-25,4,Central-West,0.0
base,last_week,2018-06-04,2018-06-04,1,North,0.0
base,last_week,2018-06-04,2018-06-11,2,North,0.0
base,last_week,2018-06-04,2018-06-18,3,North,0.0
base,last_week,2018-06-04,2018-06-25,4,North,0.0
base,last_week,2018-06-04,2018-06-04,1,Northeast,0.4
base,last_week,2018-06-04,2018-06-11,2,Northeast,0.0
base,last_week,2018-06-04,2018-06-18,3,Northeast,0.0
base,last_week,2018-06-04,2018-06-25,4,Northeast,0.0
base,last_week,2018-06-04,2018-06-04,1,South,0.0
base,last_week,2018-06-04,2018-06-11,2,South,0.0
base,last_week,2018-06-04,2018-06-18,3,South,0.0
base,last_week,2018-06-04,2018-06-25,4,South,0.0
base,last_week,2018-06-04,2018-06-04,1,Southeast,0.0
base,last_week,2018-06-04,2018-06-11,2,Southeast,0.0
base,last_week,2018-06-04,2018-06-18,3,Southeast,0.0
base,last_week,2018-06-04,2018-06-25,4,Southeast,0.0
base,last_week,2018-06-11,2018-06-11,1,Central-West,44.5
base,last_week,2018-06-11,2018-06-18,2,Central-West,0.0
base,last_week,2018-06-11,2018-06-25,3,Central-West,0.0
base,last_week,2018-06-11,2018-07-02,4,Central-West,0.0
base,last_week,2018-06-11,2018-06-11,1,North,15.7
base,last_week,2018-06-11,2018-06-18,2,North,0.0
base,last_week,2018-06-11,2018-06-25,3,North,0.0
base,last_week,2018-06-11,2018-07-02,4,North,0.0
base,last_week,2018-06-11,2018-06-11,1,Northeast,67.3
base,last_week,2018-06-11,2018-06-18,2,Northeast,0.0
base,last_week,2018-06-11,2018-06-25,3,Northeast,0.0
base,last_week,2018-06-11,2018-07-02,4,Northeast,0.0
base,last_week,2018-06-11,2018-06-11,1,South,56.9
base,last_week,2018-06-11,2018-06-18,2,South,0.0
base,last_week,2018-06-11,2018-06-25,3,South,0.0
base,last_week,2018-06-11,2018-07-02,4,South,0.0
base,last_week,2018-06-11,2018-06-11,1,Southeast,41.1
base,last_week,2018-06-11,2018-06-18,2,Southeast,0.0
base,last_week,2018-06-11,2018-06-25,3,Southeast,0.0
base,last_week,2018-06-11,2018-07-02,4,Southeast,0.0
base,last_week,2018-06-18,2018-06-18,1,Central-West,0.1
base,last_week,2018-06-18,2018-06-25,2,Central-West,0.0
base,last_week,2018-06-18,2018-07-02,3,Central-West,0.0
base,last_week,2018-06-18,2018-07-09,4,Central-West,0.0
base,last_week,2018-06-18,2018-06-18,1,North,3.0
base,last_week,2018-06-18,2018-06-25,2,North,0.0
base,last_week,2018-06-18,2018-07-02,3,North,0.0
