scenario,policy,weeks,demand_units,fulfilled_units,fill_rate,shortage_units,ordered_units,ending_inventory,procurement_cost,shipping_cost,risk_cost,holding_cost,shortage_cost,service_gap_cost,total_cost,expected_late_units,supplier_risk_units
base,ridge,13,14267.0,13412.0,0.9400714936566903,855.0,13918.0,824.0,650486.124,202041.19999999998,14105.152861306791,4482.9537,92325.825,33254.1523125,996695.407873807,1038.0715826259711,1160.1160400598042
base,moving_average,13,14267.0,13448.0,0.9425947991869349,819.0,14316.0,1018.0,669204.6960000001,202816.115,14128.434759833563,4981.829299999999,83841.07749999998,44551.095562500006,1019523.2481223337,1042.5028584481609,1157.6823784496553
base,last_week,13,14267.0,13313.0,0.9331324034485176,954.0,14233.0,1241.0,663606.504,201096.49500000002,13970.231707143314,4540.9205,102448.85250000001,50330.167687500005,1035993.1713946434,1032.4587153875589,1142.1123968085683
capacity_120,ridge,13,14267.0,13412.0,0.9400714936566903,855.0,13918.0,824.0,650486.124,202041.19999999998,14105.152861306791,4482.9537,92325.825,33254.1523125,996695.407873807,1038.0715826259711,1160.1160400598042
capacity_80,ridge,13,14267.0,13412.0,0.9400714936566903,855.0,13918.0,824.0,650486.124,202041.19999999998,14105.152861306791,4482.9537,92325.825,33254.1523125,996695.407873807,1038.0715826259711,1160.1160400598042
lead_time_2,ridge,13,14267.0,13080.0,0.9168010093222121,1187.0,14179.0,708.0,663691.4280000001,197277.26,13786.906712251728,6490.050400000001,128493.51999999999,81886.51350000002,1091625.6786122518,1015.5923495700864,1132.4335831382066
risk_0,ridge,13,14267.0,13416.0,0.9403518609378285,851.0,13931.0,824.0,651073.8480000001,202064.975,0.0,4478.616300000001,91934.58499999999,32568.499687500007,982120.5239875,1047.088507657591,1175.7461137521645
risk_2x,ridge,13,14267.0,13410.0,0.9399313100161211,857.0,13919.0,824.0,650639.8920000001,202184.17999999996,27953.243874996246,4487.7447,92521.44499999999,33254.1523125,1011040.6578874963,1028.723705381746,1149.3664588888314
safety_0,ridge,13,14267.0,12274.0,0.8603070021728464,1993.0,12384.0,541.0,580919.136,182429.985,12844.899518795733,2230.8029,218181.0675,168311.39437500003,1164917.2852937956,940.995655713165,1063.3868546180822
safety_1,ridge,13,14267.0,14099.0,0.9882245741921918,168.0,15073.0,1195.0,702414.828,213266.15499999997,14878.832128587766,7432.7612,16741.917500000003,16.3250625,954750.8188910877,1100.7027624619661,1214.6420057784076
service_85,ridge,13,14267.0,13412.0,0.9400714936566903,855.0,13918.0,824.0,650486.124,202596.935,14126.162501309176,4482.9537,92325.825,10545.990375,974563.9905763093,1040.6977876262692,1160.1160400598042
service_95,ridge,13,14267.0,13412.0,0.9400714936566903,855.0,13918.0,824.0,650486.124,201304.19,14085.072108494356,4482.9537,92325.825,76180.90415625,1038865.0689647443,1035.561488524417,1160.1160400598042
shortage_high,ridge,13,14267.0,13412.0,0.9400714936566903,855.0,13918.0,824.0,650486.124,202041.19999999998,14105.152861306791,4482.9537,139456.88999999998,50253.1974,1060825.5179613067,1038.0715826259711,1160.1160400598042
shortage_low,ridge,13,14267.0,13411.0,0.9400014018364057,856.0,13914.0,816.0,650398.002,202020.88499999998,14104.927262896725,4461.164900000001,64086.488000000005,23167.90506,958239.3722228969,1038.083721124625,1160.0514987799445
