scenario,policy,origin_week,region,demand_units,fulfilled_units,shortage_units,fill_rate,expected_late_units,supplier_risk_units
base,last_week,2018-05-28,Central-West,42.0,42.0,0.0,1.0,3.492403824204677,4.011367381999401
base,last_week,2018-05-28,North,9.0,9.0,0.0,1.0,0.893608589588742,0.812668899007375
base,last_week,2018-05-28,Northeast,78.0,78.0,0.0,1.0,9.078170852345064,6.3032857777678695
base,last_week,2018-05-28,South,92.0,92.0,0.0,1.0,4.900026575952717,8.15837494678074
base,last_week,2018-05-28,Southeast,572.0,572.0,0.0,1.0,44.6441189804387,49.10535984243484
base,last_week,2018-06-04,Central-West,60.0,54.0,6.0,0.9,3.710503085977977,4.858051538154145
base,last_week,2018-06-04,North,30.0,22.0,8.0,0.7333333333333333,2.0534421101376883,2.295662732197358
base,last_week,2018-06-04,Northeast,87.0,62.0,25.0,0.7126436781609196,5.464859574923565,5.703547355227074
base,last_week,2018-06-04,South,145.0,130.0,15.0,0.896551724137931,7.539540568754762,12.317353587104625
base,last_week,2018-06-04,Southeast,760.0,684.0,76.0,0.9,53.32397363891726,56.859621234074346
base,last_week,2018-06-11,Central-West,55.0,46.0,9.0,0.8363636363636363,3.1716304489131826,4.129144098830132
base,last_week,2018-06-11,North,18.0,9.0,9.0,0.5,0.7601214302234558,0.8370251012970311
base,last_week,2018-06-11,Northeast,99.0,50.0,49.0,0.5050505050505051,4.685527090548811,4.1622445290464345
base,last_week,2018-06-11,South,134.0,120.0,14.0,0.8955223880597015,7.020712797808065,12.09731532394885
base,last_week,2018-06-11,Southeast,821.0,738.0,83.0,0.8989037758830695,56.103257612611,64.60632780825216
base,last_week,2018-06-18,Central-West,77.0,77.0,0.0,1.0,6.389681658171588,7.7354276485389954
base,last_week,2018-06-18,North,11.0,11.0,0.0,1.0,1.1427206295967618,1.0296969156650793
base,last_week,2018-06-18,Northeast,88.0,88.0,0.0,1.0,8.662027659921753,6.088089251220634
base,last_week,2018-06-18,South,150.0,150.0,0.0,1.0,8.284084832990617,14.429115785622962
base,last_week,2018-06-18,Southeast,789.0,789.0,0.0,1.0,61.727597414279494,65.57540564199151
base,last_week,2018-06-25,Central-West,54.0,54.0,0.0,1.0,4.454560538753751,4.3002172697323156
base,last_week,2018-06-25,North,17.0,17.0,0.0,1.0,1.7961614336880931,1.530679093363009
base,last_week,2018-06-25,Northeast,102.0,102.0,0.0,1.0,10.003096611863736,8.77598174267955
base,last_week,2018-06-25,South,153.0,153.0,0.0,1.0,8.76521841402498,13.343105975710714
base,last_week,2018-06-25,Southeast,770.0,770.0,0.0,1.0,60.80457380959621,66.47348358574668
base,last_week,2018-07-02,Central-West,39.0,39.0,0.0,1.0,3.8857134731399285,3.4248768181717835
base,last_week,2018-07-02,North,15.0,15.0,0.0,1.0,1.539123939594971,1.6776541757771815
base,last_week,2018-07-02,Northeast,84.0,80.0,4.0,0.9523809523809523,7.037929754608842,6.6824810474907235
base,last_week,2018-07-02,South,124.0,124.0,0.0,1.0,7.514211739355645,11.8644060469964
base,last_week,2018-07-02,Southeast,660.0,660.0,0.0,1.0,51.5191361677121,56.054623237088556
base,last_week,2018-07-09,Central-West,55.0,55.0,0.0,1.0,4.582661044195735,4.685520478784598
base,last_week,2018-07-09,North,18.0,18.0,0.0,1.0,1.9910742902896463,1.6110798666227966
base,last_week,2018-07-09,Northeast,123.0,123.0,0.0,1.0,13.304967959678919,9.057161808418813
base,last_week,2018-07-09,South,110.0,110.0,0.0,1.0,5.966505631272695,10.134090583483022
base,last_week,2018-07-09,Southeast,389.0,389.0,0.0,1.0,30.889529579449018,32.57957572841169
base,last_week,2018-07-16,Central-West,77.0,70.0,7.0,0.9090909090909091,5.934343086951232,6.39413405237232
base,last_week,2018-07-16,North,26.0,24.0,2.0,0.9230769230769231,2.379631351021177,2.512040588970423
base,last_week,2018-07-16,Northeast,114.0,103.0,11.0,0.9035087719298246,10.865582825970417,8.59854186611093
base,last_week,2018-07-16,South,180.0,171.0,9.0,0.95,9.260517734069618,14.307176751499801
base,last_week,2018-07-16,Southeast,805.0,796.0,9.0,0.9888198757763975,62.86433775731654,67.35863785250858
base,last_week,2018-07-23,Central-West,79.0,32.0,47.0,0.4050632911392405,2.1064649390069854,2.6543815741679015
base,last_week,2018-07-23,North,34.0,7.0,27.0,0.20588235294117646,0.7035003114203104,0.622161739275588
base,last_week,2018-07-23,Northeast,113.0,25.0,88.0,0.22123893805309736,3.048803609732968,1.547045706906292
base,last_week,2018-07-23,South,159.0,127.0,32.0,0.7987421383647799,7.3109338739025125,11.301473045633141
base,last_week,2018-07-23,Southeast,822.0,665.0,157.0,0.8090024330900243,50.229435101187484,55.07493556389861
base,last_week,2018-07-30,Central-West,83.0,75.0,8.0,0.9036144578313253,6.120875154835805,6.773924690322677
base,last_week,2018-07-30,North,33.0,30.0,3.0,0.9090909090909091,3.152874051351404,2.5640108843273803
base,last_week,2018-07-30,Northeast,131.0,118.0,13.0,0.9007633587786259,12.597360825095572,9.1375144272884
base,last_week,2018-07-30,South,162.0,152.0,10.0,0.9382716049382716,8.495500180694465,13.56017322143218
base,last_week,2018-07-30,Southeast,1073.0,990.0,83.0,0.9226467847157502,77.3694348722652,84.31567312257502
base,last_week,2018-08-06,Central-West,82.0,73.0,9.0,0.8902439024390244,6.33228222899269,5.927039664218373
base,last_week,2018-08-06,North,22.0,17.0,5.0,0.7727272727272727,1.649121684356611,1.4441620133337634
base,last_week,2018-08-06,Northeast,113.0,101.0,12.0,0.8938053097345132,10.701990819217073,7.493220432004735
base,last_week,2018-08-06,South,259.0,233.0,26.0,0.8996138996138996,13.892842035388693,21.151579369684328
base,last_week,2018-08-06,Southeast,975.0,877.0,98.0,0.8994871794871795,68.33438192697555,75.58380385347327
base,last_week,2018-08-13,Central-West,85.0,85.0,0.0,1.0,7.5525567666309605,7.20694114098302
base,last_week,2018-08-13,North,10.0,10.0,0.0,1.0,1.0430146751982152,1.3027705971504602
base,last_week,2018-08-13,Northeast,94.0,94.0,0.0,1.0,9.571705581602428,7.65688711245881
base,last_week,2018-08-13,South,167.0,167.0,0.0,1.0,9.392755755386284,14.690536641024355
base,last_week,2018-08-13,Southeast,1010.0,1010.0,0.0,1.0,79.06206101963491,86.97904190026874
base,last_week,2018-08-20,Central-West,30.0,30.0,0.0,1.0,2.5803094976888357,2.387211346074141
base,last_week,2018-08-20,North,0.0,0.0,0.0,1.0,0.0,0.0
base,last_week,2018-08-20,Northeast,22.0,22.0,0.0,1.0,1.7093378433283317,1.6177454547164174
base,last_week,2018-08-20,South,80.0,80.0,0.0,1.0,4.262148409355969,7.54014807843334
base,last_week,2018-08-20,Southeast,597.0,597.0,0.0,1.0,46.832137705450585,51.0994612598159
base,moving_average,2018-05-28,Central-West,42.0,42.0,0.0,1.0,3.492403824204677,4.011367381999401
base,moving_average,2018-05-28,North,9.0,9.0,0.0,1.0,0.893608589588742,0.812668899007375
base,moving_average,2018-05-28,Northeast,78.0,78.0,0.0,1.0,9.078170852345064,6.3032857777678695
base,moving_average,2018-05-28,South,92.0,92.0,0.0,1.0,4.900026575952717,8.15837494678074
base,moving_average,2018-05-28,Southeast,572.0,572.0,0.0,1.0,44.6441189804387,49.10535984243484
base,moving_average,2018-06-04,Central-West,60.0,60.0,0.0,1.0,4.753550272928528,5.10200718498411
base,moving_average,2018-06-04,North,30.0,30.0,0.0,1.0,3.18244897964782,3.222609067032812
base,moving_average,2018-06-04,Northeast,87.0,87.0,0.0,1.0,8.586745233275966,6.859481431944333
base,moving_average,2018-06-04,South,145.0,145.0,0.0,1.0,8.42022525601081,13.52228381935577
base,moving_average,2018-06-04,Southeast,760.0,760.0,0.0,1.0,59.68694721478017,64.73721618308035
base,moving_average,2018-06-11,Central-West,55.0,50.0,5.0,0.9090909090909091,4.156160743001504,4.2411515137739855
base,moving_average,2018-06-11,North,18.0,17.0,1.0,0.9444444444444444,1.7516549246824344,1.4522742086347908
base,moving_average,2018-06-11,Northeast,99.0,90.0,9.0,0.9090909090909091,8.152570951150274,6.901785857934994
base,moving_average,2018-06-11,South,134.0,134.0,0.0,1.0,7.582780761585699,13.150904039894792
base,moving_average,2018-06-11,Southeast,821.0,772.0,49.0,0.9403166869671132,59.89566756014983,65.03375058399246
base,moving_average,2018-06-18,Central-West,77.0,70.0,7.0,0.9090909090909091,5.728442653924522,7.727466847026058
base,moving_average,2018-06-18,North,11.0,10.0,1.0,0.9090909090909091,1.0432562509121472,0.9128725287173365
base,moving_average,2018-06-18,Northeast,88.0,80.0,8.0,0.9090909090909091,6.912418403600421,6.1344747478273955
base,moving_average,2018-06-18,South,150.0,135.0,15.0,0.9,8.105156359876274,14.101531336824303
base,moving_average,2018-06-18,Southeast,789.0,751.0,38.0,0.9518377693282636,58.66487066377772,63.09359463272358
base,moving_average,2018-06-25,Central-West,54.0,54.0,0.0,1.0,4.5285169626412145,4.261861940510528
base,moving_average,2018-06-25,North,17.0,17.0,0.0,1.0,1.7961614336880931,1.530679093363009
base,moving_average,2018-06-25,Northeast,102.0,97.0,5.0,0.9509803921568627,9.745429195197952,8.353585731650037
base,moving_average,2018-06-25,South,153.0,153.0,0.0,1.0,8.746919417471954,13.970737298952926
base,moving_average,2018-06-25,Southeast,770.0,770.0,0.0,1.0,59.99569514020652,66.0039897031542
base,moving_average,2018-07-02,Central-West,39.0,39.0,0.0,1.0,3.29406208204022,3.731719451946087
base,moving_average,2018-07-02,North,15.0,15.0,0.0,1.0,1.539123939594971,1.6776541757771815
base,moving_average,2018-07-02,Northeast,84.0,84.0,0.0,1.0,7.541735174966593,6.990055475790988
base,moving_average,2018-07-02,South,124.0,124.0,0.0,1.0,6.972368900690311,11.437131026670428
base,moving_average,2018-07-02,Southeast,660.0,660.0,0.0,1.0,51.788664181269056,56.586333256635044
base,moving_average,2018-07-09,Central-West,55.0,55.0,0.0,1.0,4.582661044195735,4.685520478784598
base,moving_average,2018-07-09,North,18.0,18.0,0.0,1.0,1.9910742902896463,1.6110798666227966
base,moving_average,2018-07-09,Northeast,123.0,123.0,0.0,1.0,13.214300422160548,9.611171085638121
base,moving_average,2018-07-09,South,110.0,110.0,0.0,1.0,5.987132996216017,10.112150953159828
base,moving_average,2018-07-09,Southeast,389.0,389.0,0.0,1.0,30.889529579449018,32.57957572841169
base,moving_average,2018-07-16,Central-West,77.0,77.0,0.0,1.0,6.494943984338537,6.73577415902109
base,moving_average,2018-07-16,North,26.0,26.0,0.0,1.0,2.6304529249651223,2.599225460988659
base,moving_average,2018-07-16,Northeast,114.0,114.0,0.0,1.0,12.196758202084851,9.318454049478676
base,moving_average,2018-07-16,South,180.0,180.0,0.0,1.0,9.887281118464402,15.639084725641967
base,moving_average,2018-07-16,Southeast,805.0,805.0,0.0,1.0,63.59911692368923,67.89313891852387
base,moving_average,2018-07-23,Central-West,79.0,72.0,7.0,0.9113924050632911,5.164972970032968,6.744095835364854
