policy,region,demand_units,fulfilled_units,shortage_units,expected_late_units,supplier_risk_units,fill_rate
last_week,Central-West,818.0,732.0,86.0,60.31398574746335,64.4882377023498,0.8948655256723717
last_week,North,243.0,189.0,54.0,19.104394496467076,18.239612606987446,0.7777777777777778
last_week,Northeast,1248.0,1046.0,202.0,106.73136100883748,82.82374651133668,0.8381410256410257
last_week,South,1915.0,1809.0,106.0,102.60499854895703,164.89484935735445,0.9446475195822455
last_week,Southeast,10043.0,9537.0,506.0,743.7039755858341,811.6659506305399,0.9496166484118291
moving_average,Central-West,818.0,738.0,80.0,58.83316809180795,66.52629975248169,0.902200488997555
moving_average,North,243.0,202.0,41.0,21.33345889862773,19.386913526484292,0.831275720164609
moving_average,Northeast,1248.0,1045.0,203.0,105.96620034531252,82.26909285428154,0.8373397435897436
moving_average,South,1915.0,1819.0,96.0,102.98057369744191,167.35674234999104,0.9498694516971279
moving_average,Southeast,10043.0,9644.0,399.0,753.3894574149706,822.1433299664168,0.9602708354077467
ridge,Central-West,818.0,755.0,63.0,60.54570847003291,67.25799472328747,0.9229828850855746
ridge,North,243.0,165.0,78.0,17.067446942834565,16.232186828981717,0.6790123456790124
ridge,Northeast,1248.0,1076.0,172.0,108.21763657976487,86.42979003478747,0.8621794871794872
ridge,South,1915.0,1786.0,129.0,100.72404885498935,166.22213375723103,0.9326370757180157
ridge,Southeast,10043.0,9630.0,413.0,751.5167417783493,823.9739347155165,0.9588768296325799
