scenario,policy,week,planning_status,fulfillment_status,planning_solve_seconds,fulfillment_solve_seconds,planned_objective,demand_units,fulfilled_units,shortage_units,fill_rate,ordered_units,ending_inventory,procurement_cost,shipping_cost,risk_cost,holding_cost,shortage_cost,service_gap_cost,total_cost,expected_late_units,supplier_risk_units
base,last_week,2018-05-28,Optimal,Optimal,0.11367737498949282,0.0294206669786945,164518.02587692675,793.0,793.0,0.0,1.0,364.0,872.0,17008.332,12122.41,846.0219148201903,650.2664,0.0,0.0,30627.03031482019,63.00832882252988,68.39105684799021
base,last_week,2018-06-04,Optimal,Optimal,0.06777775002410635,0.03211479200399481,212097.64674581122,1082.0,952.0,130.0,0.8798521256931608,823.0,284.0,39144.192,14477.905,986.9097340634778,190.5669,13300.300000000001,3558.8636250000004,71658.73725906348,72.09231897871126,82.03423644675755
base,last_week,2018-06-11,Optimal,Optimal,0.06419712500064634,0.05493516701972112,341368.9327959175,1127.0,963.0,164.0,0.8544809228039042,1254.0,144.0,58417.074,14229.414999999999,1003.0902793477092,92.0513,19458.04,8374.7570625,101574.4276418477,71.74124938010453,85.83205686137458
base,last_week,2018-06-18,Optimal,Optimal,0.06706412497442216,0.028634332993533462,295891.100366259,1115.0,1115.0,0.0,1.0,1235.0,283.0,58836.756,16768.899999999998,1163.9375737748776,189.9343,0.0,0.0,76959.52787377487,86.2061121949602,94.85773524303917
base,last_week,2018-06-25,Optimal,Optimal,0.07474199999705888,0.028985667013330385,277731.25466990704,1096.0,1096.0,0.0,1.0,1188.0,422.0,56578.674,16644.704999999998,1158.7062247995755,321.8629,0.0,0.0,74703.94812479957,85.82361080792677,94.42346766723227
base,last_week,2018-07-02,Optimal,Optimal,0.06617858397657983,0.02856691600754857,267753.3989743505,922.0,918.0,4.0,0.9956616052060737,1001.0,692.0,45826.734000000004,13992.365,970.4891272229152,549.8819,363.94,0.0,61703.41002722292,71.49611507441148,79.70404132552463
base,last_week,2018-07-09,Optimal,Optimal,0.06398370797978714,0.028583083010744303,217307.83847142593,695.0,695.0,0.0,1.0,684.0,998.0,31877.268,11212.41,744.2150503676927,740.6652,0.0,0.0,44574.55825036769,56.73473850488602,58.06742846572092
base,last_week,2018-07-16,Optimal,Optimal,0.06576487500569783,0.035663041984662414,174594.0137243051,1202.0,1164.0,38.0,0.9683860232945092,364.0,518.0,20572.464,17703.855,1226.2879575999423,373.004,6739.68,0.0,46615.290957599944,91.304412755329,99.17053111146205
base,last_week,2018-07-23,Optimal,Optimal,0.06448508400353603,0.02846137498272583,415771.1845336475,1207.0,856.0,351.0,0.7091963545981773,1439.0,26.0,67583.628,12788.38,863.1930908314098,33.54,35759.1725,37596.6189375,154624.53252833142,63.399137835250265,71.19999762988154
base,last_week,2018-07-30,Optimal,Optimal,0.09142729098675773,0.029078291001496837,297295.5924482897,1482.0,1365.0,117.0,0.9210526315789473,1317.0,100.0,58475.196,20785.01,1443.644842403668,91.773,10838.1825,0.0,91633.80634240367,107.73604508424243,116.35129634594564
base,last_week,2018-08-06,Optimal,Optimal,0.06691470797522925,0.03660595798282884,416529.95462795976,1451.0,1301.0,150.0,0.8966230186078566,1673.0,116.0,77327.304,19698.975,1365.2839762230174,77.3836,15989.5375,799.9280625,115258.41213872303,100.91061869493062,111.59980533271447
base,last_week,2018-08-13,Optimal,Optimal,0.06801433299551718,0.02907212497666478,343016.25627711235,1366.0,1366.0,0.0,1.0,1547.0,423.0,69171.15,20298.6,1442.1576373470493,318.3653,0.0,0.0,91230.27293734705,106.62209379845278,117.8361773918854
base,last_week,2018-08-20,Optimal,Optimal,0.0649552500108257,0.028241499996511266,316351.6049520777,729.0,729.0,0.0,1.0,1344.0,1241.0,62787.732,10373.565,756.2942983417887,911.6257,0.0,0.0,74829.21699834178,55.383933455823716,62.644566139039796
base,moving_average,2018-05-28,Optimal,Optimal,0.06938708300003782,0.03742787500959821,281718.8447109756,793.0,793.0,0.0,1.0,1213.0,872.0,57964.89,12122.41,846.0219148201903,650.2664,0.0,0.0,71583.58831482018,63.00832882252988,68.39105684799021
base,moving_average,2018-06-04,Optimal,Optimal,0.06731041701277718,0.027127792011015117,214063.52327189108,1082.0,1082.0,0.0,1.0,554.0,1003.0,25894.02,16449.42,1144.2573240851332,783.5282,0.0,0.0,44271.22552408514,84.62991695664329,93.4435976863974
